	Numbero f particles	Process std	param_measurement_std	param_vel_std	param_res_g	mean_test_score
23	600	0.02	0.01	0.15	0.75	-0.00038496153046838126
59	2500	0.02	0.01	0.15	0.75	-0.00038297357216112923
10	600	0.01	0.01	0.1	0.75	-0.00038257868667606443
71	2500	0.04	0.01	0.15	0.75	-0.0003824718817287517
95	10000	0.02	0.01	0.15	0.75	-0.0003818917941229418
47	2500	0.01	0.01	0.15	0.75	-0.00038178658763033036
11	600	0.01	0.01	0.15	0.75	-0.00038149362844692205
107	10000	0.04	0.01	0.15	0.75	-0.00038097490615933297
34	600	0.04	0.01	0.1	0.75	-0.0003809535309704804
22	600	0.02	0.01	0.1	0.75	-0.00038086818254360797
35	600	0.04	0.01	0.15	0.75	-0.0003807932200386617
83	10000	0.01	0.01	0.15	0.75	-0.0003802879787061669
70	2500	0.04	0.01	0.1	0.75	-0.0003794265004062199
119	600	0.01	0.015	0.15	0.75	-0.00037941688816328276
131	600	0.02	0.015	0.15	0.75	-0.0003787425676843921
46	2500	0.01	0.01	0.1	0.75	-0.00037871003254026864
82	10000	0.01	0.01	0.1	0.75	-0.0003780093216996003
58	2500	0.02	0.01	0.1	0.75	-0.0003774305079383574
94	10000	0.02	0.01	0.1	0.75	-0.0003772941797634488
143	600	0.04	0.015	0.15	0.75	-0.0003770842531009046
106	10000	0.04	0.01	0.1	0.75	-0.00037667966281289706
20	600	0.02	0.01	0.15	0.5	-0.00037518996272592546
32	600	0.04	0.01	0.15	0.5	-0.0003744856128219329
9	600	0.01	0.01	0.05	0.75	-0.00037400877586331186
8	600	0.01	0.01	0.15	0.5	-0.00037354701016219997
21	600	0.02	0.01	0.05	0.75	-0.0003726528143314322
179	2500	0.04	0.015	0.15	0.75	-0.00037241378361939446
92	10000	0.02	0.01	0.15	0.5	-0.0003718467279936771
7	600	0.01	0.01	0.1	0.5	-0.0003717712433891232
56	2500	0.02	0.01	0.15	0.5	-0.0003717079711984729
44	2500	0.01	0.01	0.15	0.5	-0.0003710358721116041
33	600	0.04	0.01	0.05	0.75	-0.0003706098653198994
155	2500	0.01	0.015	0.15	0.75	-0.0003705541947072032
118	600	0.01	0.015	0.1	0.75	-0.00037039898167730333
69	2500	0.04	0.01	0.05	0.75	-0.0003703332174920917
167	2500	0.02	0.015	0.15	0.75	-0.00037023184100283996
104	10000	0.04	0.01	0.15	0.5	-0.00037016694948405486
29	600	0.04	0.01	0.15	0.4	-0.00036986201908554965
68	2500	0.04	0.01	0.15	0.5	-0.0003698417691489762
105	10000	0.04	0.01	0.05	0.75	-0.00036966748611889005
80	10000	0.01	0.01	0.15	0.5	-0.0003693663128731766
81	10000	0.01	0.01	0.05	0.75	-0.0003693069788957358
191	10000	0.01	0.015	0.15	0.75	-0.00036910862956607645
41	2500	0.01	0.01	0.15	0.4	-0.00036907141592915993
31	600	0.04	0.01	0.1	0.5	-0.0003685689915965404
17	600	0.02	0.01	0.15	0.4	-0.0003684294604343467
93	10000	0.02	0.01	0.05	0.75	-0.00036842154716823115
203	10000	0.02	0.015	0.15	0.75	-0.0003683590825709672
77	10000	0.01	0.01	0.15	0.4	-0.0003681913599628966
215	10000	0.04	0.015	0.15	0.75	-0.0003681635405370038
57	2500	0.02	0.01	0.05	0.75	-0.00036805980779773843
5	600	0.01	0.01	0.15	0.4	-0.0003679856634766359
67	2500	0.04	0.01	0.1	0.5	-0.0003675841912811134
89	10000	0.02	0.01	0.15	0.4	-0.0003674551216333157
45	2500	0.01	0.01	0.05	0.75	-0.0003673993051979976
55	2500	0.02	0.01	0.1	0.5	-0.0003673171605318236
