	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
2256	2500	0.21185075550287188	0.2990007160871212	0.886427246465347	0.04120454341421842	0.1	-0.0026079382864152368	1.4795246124267578
2799	1500	0.29664368403056585	0.29864029027787725	0.9514702944942216	0.8118345691814535	0.1	-0.002716311150630527	1.3843507766723633
549	2500	0.315809887430391	0.31979457472410233	0.9243310914280806	0.731776925393566	0.1	-0.0027176027724981995	1.9286108016967773
2864	1500	0.3919314881914082	0.314516746822722	0.9409084364433157	0.5223857770354582	0.1	-0.0027305978938882433	1.370349645614624
702	2500	0.46089423406955476	0.3202409647055893	0.9700694823963639	0.052293318870562544	0.1	-0.002745710290607835	1.9267101287841797
2177	2500	0.3520274153270849	0.3209818177417778	0.9962382770496915	0.12056905650500138	0.1	-0.0027527756813933288	1.9216482639312744
1917	2500	0.37082910434362437	0.31844108291050044	0.9815829514313279	0.28918535214280905	0.1	-0.002757361296728501	1.9357595443725586
2781	2500	0.4181325936342798	0.30548012896311044	0.860505483115058	0.9025822538264584	0.1	-0.0027657555543866884	1.9190905094146729
2727	2500	0.21180420598968377	0.3049966054844009	0.9625588638717566	0.29913378730711193	0.1	-0.002769012501898994	1.4380009174346924
1104	2500	0.20565112786515855	0.3187966767109721	0.9201887155312877	0.4032476940288212	0.1	-0.0027704046928219424	1.4432933330535889
463	2500	0.42536131929900994	0.29370761050028493	0.9866272265674526	0.9673021680952965	0.1	-0.002802080496174393	1.9346003532409668
1124	2500	0.44866950868781313	0.30466100409877517	0.9992874211485822	0.4014087290279631	0.1	-0.0028023026879637506	1.9199819564819336
454	2500	0.3599976667102057	0.3235608302837203	0.9530969807672225	0.719539671785079	0.1	-0.0028036212753475144	1.9317095279693604
1396	2500	0.2672989998501049	0.3037696002098673	0.7577283278051323	0.9684792334038062	0.1	-0.002815462426202271	1.9172914028167725
1085	2500	0.47895833062162296	0.31495478414002187	0.9400836432569195	0.010015308737164164	0.1	-0.0028168283411278247	1.9286479949951172
1589	2500	0.4720227947770654	0.31307664234450927	0.9169392954445748	0.6189774816360777	0.1	-0.0028392118044094977	1.905620813369751
1061	2500	0.4336477900218225	0.3192019852861092	0.7847113931591518	0.8249415731828014	0.1	-0.002840689490817625	1.9144554138183594
682	2500	0.4129004600736511	0.2631132708157956	0.9991863270472693	0.010584761089963979	0.1	-0.002840852071792346	1.923581838607788
1086	2500	0.3254114222711006	0.3148796761479876	0.9980716417870861	0.1166069351614033	0.1	-0.002842737498372973	1.9313116073608398
350	2500	0.4686296813665074	0.29388822787217006	0.8967550560466061	0.4842176835484845	0.1	-0.0028544318074824973	1.9154953956604004
120	2500	0.397193059416645	0.2868419940102881	0.9066817993670298	0.6149655548850531	0.1	-0.0028591175225527376	1.9169695377349854
2724	2500	0.40464950440685066	0.3092730626798746	0.9265962864245099	0.2502520179397877	0.1	-0.00286047148342068	1.919011116027832
893	2500	0.333661196088839	0.28562007255607047	0.9869658565683446	0.9811373665953014	0.1	-0.0028638718560689397	1.9217627048492432
46	1000	0.4156761926263042	0.3024481559129435	0.9643618637794842	0.496751350698439	0.1	-0.002864238433328255	1.0904951095581055
434	2500	0.5262574120471288	0.3116128823304699	0.9805870121699816	0.22982109729778	0.1	-0.002864906139871825	1.9290239810943604
1389	1500	0.43481089193324896	0.3208425408124062	0.972531231230759	0.20464346697985392	0.1	-0.002865254630269299	1.376692771911621
659	2500	0.40384638680328744	0.2948316487091954	0.9857078689913484	0.8690239980393542	0.1	-0.002865780201591501	1.9220161437988281
1783	2500	0.2598306462601436	0.31015765353778857	0.8311336783478871	0.8800259285480871	0.1	-0.0028686750259384586	1.936579942703247
154	2500	0.43385744949077176	0.3227746819364332	0.8042288578950434	0.054802495307224364	0.1	-0.0028696811725170118	1.9218318462371826
523	2500	0.32519371396913177	0.31507879098759695	0.9231522867776499	0.807638323733009	0.1	-0.0028701323505585805	1.9231913089752197
89	2500	0.5176037599955015	0.3146173278684786	0.9845781179943297	0.6713020747781088	0.1	-0.0028756831223871434	1.922447681427002
2053	1500	0.38311268986016367	0.279932937279797	0.9242377457527902	0.9610139240414886	0.1	-0.0028779262168631787	1.3825352191925049
1018	2500	0.47905112142051026	0.3233165117591255	0.996279697039967	0.16415762505416553	0.1	-0.0028823434667335788	1.901963233947754
2091	1500	0.34343301239797935	0.3120356134675085	0.9203899228579094	0.3664922415932085	0.1	-0.0028831720706594447	1.371758222579956
667	1000	0.38531120186961876	0.30362398427654325	0.916204677391731	0.6518404021203876	0.1	-0.0028984118102593306	1.1013786792755127
316	2500	0.385172817488599	0.2656320720998314	0.8816565024183078	0.7216546962792746	0.1	-0.002903597670139928	1.936288833618164
1810	2500	0.22908272314068606	0.3134417816956604	0.9076267979544305	0.9385060768064927	0.1	-0.00290424275574753	1.478921890258789
1507	2500	0.3435909888562367	0.3054620012921134	0.8550519451482193	0.31851146167706235	0.1	-0.002904517928134503	1.927381992340088
1403	2500	0.393725893517491	0.322418849399288	0.866066788552726	0.48980125406033903	0.1	-0.0029070740913360307	1.9392764568328857
971	2500	0.4494815336969584	0.3042763125071459	0.9082214695250252	0.46465092287815735	0.1	-0.002907938704571317	1.9401233196258545
2743	2500	0.380490673411928	0.2780099727465466	0.9711321166305311	0.6731593894554975	0.1	-0.0029165917116351714	1.9179291725158691
88	1500	0.4511502055207052	0.30678234367076374	0.9488550243696249	0.5834286212122688	0.1	-0.0029200371658638356	1.3624262809753418
441	2500	0.34963217048069295	0.300129020994429	0.9330509654296333	0.2916313513409803	0.1	-0.002933669117678777	1.9652748107910156
1071	2500	0.30052459244344815	0.2656559310309502	0.9298124271409705	0.15007717719592828	0.1	-0.0029397409857006814	1.9528343677520752
355	2500	0.4677490972797461	0.3225771484312021	0.6969778610033018	0.9434285165315318	0.1	-0.0029495354171475236	1.9189391136169434
194	2500	0.38352609119614	0.2794644879501822	0.7289452805974768	0.9902338336572465	0.1	-0.0029537468352044505	1.916724443435669
2242	1000	0.41201675241042934	0.29624951657084114	0.9764175108268958	0.6230855290690458	0.1	-0.002955244973320487	1.0974338054656982
2175	1000	0.3300707325452116	0.3249419095961885	0.907072382052865	0.4411123870603977	0.1	-0.002956990233702359	1.09787917137146
2569	1500	0.381155472674386	0.3197457818966709	0.9158788521204665	0.5926857895527918	0.1	-0.0029580375213727854	1.376845121383667
660	2500	0.28150782961464227	0.2632214794143968	0.8333937757933221	0.03896925864724565	0.1	-0.0029609038391810428	1.918372631072998
534	1500	0.40913677706156093	0.3092105714999037	0.8470284110253306	0.710020935922022	0.1	-0.0029610561002171255	1.359201431274414
2822	2500	0.44583975442497115	0.32356300821800343	0.6368851160276942	0.8953980046406782	0.1	-0.00296125553069864	1.9372355937957764
466	2500	0.41451757954322077	0.27604940990157234	0.8511986437457264	0.3268837270854582	0.1	-0.002962055254165095	1.9270756244659424
183	2500	0.3806464988235193	0.31359962627336896	0.9093314790114161	0.3739679960712998	0.1	-0.0029623718223053255	1.9155218601226807
2738	2500	0.4285953187993294	0.2655608032829162	0.9615400376275197	0.3497305486874476	0.1	-0.002963063510579929	1.8980791568756104
1095	2500	0.5285353356564879	0.29909303322883074	0.9017150301495307	0.3240956910832322	0.1	-0.0029681642418733444	1.8945727348327637
1055	2500	0.541760399339865	0.3150353458154569	0.9842774492816395	0.22410863543160364	0.1	-0.0029701896943907192	1.9264545440673828
1502	1000	0.3904299325288715	0.3124325568781904	0.8967106620605697	0.5124767695536986	0.1	-0.0029776740013346126	1.101895809173584
1181	1500	0.5023291627953659	0.318879697626083	0.9856340088985005	0.9041825895076747	0.1	-0.0029845387028531634	1.3781909942626953
730	2500	0.2883392406893502	0.23293869158237873	0.9885771311026107	0.5237034334511147	0.1	-0.0029862707385838795	1.9302210807800293
323	2500	0.3246302559683548	0.3080194878990389	0.8809195003354126	0.31667513368753164	0.1	-0.0029878529175619184	1.9330410957336426
695	1500	0.38552429404389765	0.3200118501152197	0.883294126047707	0.808203247399318	0.1	-0.0029923456163987896	1.3750901222229004
2827	2500	0.35919845547231766	0.3224622343645127	0.6844314170388341	0.7634670188385128	0.1	-0.002997338808658561	1.9230577945709229
1730	2500	0.5016156186645653	0.2949760217319266	0.9992806508194761	0.6851522164500731	0.1	-0.0029994622459375802	1.9334309101104736
87	1500	0.3352371993351876	0.24725696763474025	0.9339009051327686	0.27946545643619436	0.1	-0.0030016576439534154	1.373706579208374
