	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
864	1500	0.22440051214895176	0.3153346751003877	0.992046379384559	0.9555211553170005	0.1	-0.001725321616537317	0.7516992092132568
940	2500	0.23872050443928017	0.28408974506093176	0.9699085143664873	0.9124443938855147	0.1	-0.0017618346351315783	1.337083339691162
918	1500	0.2002874509603525	0.25813321808631695	0.9590402844590337	0.5674786903102107	0.1	-0.001763809560962983	0.8375771045684814
1516	2500	0.24639107877947009	0.30409324339968175	0.9812889682784759	0.8355424050335494	0.1	-0.0018267499366288714	1.311349868774414
2446	2500	0.27085281840026465	0.2902796146132837	0.9597012569386218	0.5023561435816777	0.1	-0.0018408272850653994	1.3330724239349365
2128	1500	0.23349891193475458	0.3114525013113536	0.9252281405997107	0.07358287472828906	0.1	-0.0018632771042017978	0.7641417980194092
529	2500	0.20557964506676718	0.26396299629534675	0.8989640936395278	0.2883392979229368	0.1	-0.0018673187014378798	1.1502048969268799
2675	2500	0.2606116541987553	0.2887386298541803	0.9912480067186535	0.3904883780023457	0.1	-0.001870725408808512	1.3158187866210938
647	1500	0.2162738125553458	0.2614668961744264	0.9765241716341656	0.27503046776760487	0.1	-0.0018842787692241838	0.9492101669311523
2781	1000	0.2025948068175489	0.3214386171526823	0.8108613577866728	0.8660115510368517	0.1	-0.0019014796156828166	0.6204416751861572
2612	2500	0.22104638764871565	0.2905089804331841	0.9053596467597215	0.540332259637215	0.1	-0.0019046068152122092	1.0603697299957275
997	1500	0.20060001405803904	0.2957860394938622	0.9270896832009454	0.7995900383117167	0.1	-0.0019078060588746037	0.7518966197967529
2788	1500	0.20844376870319745	0.27078119405836615	0.915852007297492	0.8146222526418606	0.1	-0.0019216139934035894	0.8109924793243408
274	1500	0.23809093457960287	0.2899814313300926	0.8663104056392583	0.8010865164559113	0.1	-0.0019276356095793735	0.9418299198150635
325	1500	0.28990591348132844	0.2968790828161051	0.9918790169060201	0.9869204751210077	0.1	-0.001929552582338642	0.9407916069030762
464	2500	0.2580127982627537	0.32399638427480054	0.8472770846376683	0.8254533790618582	0.1	-0.001930178992818223	1.2385454177856445
1201	2500	0.22918643454160398	0.28160271118874136	0.9342704742895899	0.12938308974485602	0.1	-0.0019380324115626586	1.3276708126068115
2416	2500	0.3183289093918335	0.310230989983454	0.9841485387941822	0.23654569206280363	0.1	-0.0019440196678101294	1.3382484912872314
2579	1500	0.23603679046182202	0.28508188894260267	0.9368122715627805	0.7238175519601062	0.1	-0.0019603290607863883	0.9619140625
24	1000	0.20732092543297567	0.25968461430192413	0.9351130815312623	0.29800646343489545	0.1	-0.001967368644523573	0.718632698059082
2591	2500	0.2220832103919265	0.2345654665859912	0.9703944193487583	0.6021811839124924	0.1	-0.001976942591383225	1.3311071395874023
2357	2500	0.3307463079152041	0.31951705080991033	0.9799626402330343	0.7247745229697877	0.1	-0.001978254286707397	1.3526945114135742
167	2500	0.3658836533093295	0.31607185309594016	0.9351463136024498	0.9659566464092393	0.1	-0.001978907998468073	1.324441909790039
1387	1500	0.23195636886021684	0.26631005056272916	0.9950562950638291	0.07339073222019754	0.1	-0.00198080415929312	0.9403400421142578
1712	600	0.21787689171089078	0.2759982991121884	0.9147660313275418	0.1045009677887867	0.1	-0.00198189045045701	0.5734643936157227
1315	2500	0.218224455987704	0.2234372155568803	0.912775321878421	0.9461778427617398	0.1	-0.0019907635485981144	1.322345495223999
1369	1000	0.2984073879381366	0.3001399999346601	0.9176800889456256	0.8938014200218184	0.1	-0.0019923309840592044	0.7572505474090576
1722	2500	0.2279733896984506	0.2838268520926169	0.8746590319013126	0.8267094136744332	0.1	-0.0019951140056380517	1.291236162185669
2480	1500	0.24402330640950823	0.3000773105496495	0.9132364634233162	0.21363242426727014	0.1	-0.0020055014412616715	0.929607629776001
