	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
1687	1500	0.019662889771981183	0.03568922960104528	0.8350643980288281	0.7347621693617953	-0.00017900267893254367	1.0730316638946533
2167	1500	0.01663902018137289	0.03692912515691827	0.7296991771493628	0.9711207439417675	-0.0001792378732938984	1.037489652633667
280	2500	0.012282562031864166	0.028016396715277753	0.8108594500569402	0.7485183903427326	-0.00017999017124732826	1.45619797706604
2158	1000	0.016537778340073903	0.03479518042391502	0.8525300440035168	0.5388411875307593	-0.0001818173456262621	0.8796894550323486
2365	600	0.019137065769128762	0.03627978066642711	0.8392165835569136	0.791246054854185	-0.00018321766529747014	0.7280392646789551
1622	1500	0.016365048025408377	0.03709673195306788	0.8557956545414973	0.467985230532873	-0.0001837197986797493	1.025968313217163
2609	2500	0.015754351280810545	0.033567290923600356	0.6053118512929688	0.9784710429233097	-0.00018388212751554566	1.4154648780822754
377	1500	0.018825882121036627	0.033699514292718336	0.6860265525985977	0.9394438047329322	-0.00018397754203159953	1.083256483078003
1407	1500	0.01161138935264688	0.03331383134980649	0.8084057832622236	0.11277526617294598	-0.0001844207785443708	1.0025792121887207
1649	1500	0.013433180879770667	0.033711860776497495	0.7897521696040698	0.13777761137283662	-0.00018494636871412297	1.0178377628326416
2848	2500	0.014706381411200143	0.027621088387760825	0.7439597400995148	0.9324411080205673	-0.00018551940528801415	1.5033729076385498
1330	1500	0.020491670109622558	0.039136382300900434	0.8500663518579674	0.8581766653871026	-0.00018571105336512728	1.0359084606170654
2403	1000	0.01289149507449217	0.030529031555533277	0.8388998342271563	0.2278191544732564	-0.00018577242734433305	0.8732733726501465
1021	1000	0.011548262492201361	0.03495641931405764	0.5473502712265258	0.9906139570789048	-0.00018591803881357942	0.8378915786743164
1643	1000	0.014624457082529796	0.03673604135659273	0.8112601363849037	0.690660950435744	-0.00018611021196983772	0.8440971374511719
348	1500	0.019261402673479866	0.03418987212284617	0.8536579350363322	0.766398791986528	-0.00018611039137082991	1.0804898738861084
1558	2500	0.013587914525314645	0.03084157554635133	0.6690339076656118	0.9695363844899921	-0.00018617775360974065	1.4211885929107666
2837	2500	0.013029210911051806	0.03154528766266519	0.7869868339151589	0.8496601634748915	-0.00018622432857659253	1.3901903629302979
895	1000	0.01797973088508995	0.03962302253137042	0.7920244648392638	0.029354180907168903	-0.0001864843847680359	0.8618037700653076
994	1500	0.011024719474651822	0.026457487498260872	0.8208000543464611	0.25098647871815594	-0.00018657610578520586	1.0891494750976562
799	1000	0.01524808533850385	0.02836489183826303	0.8054908786489936	0.7735018840643698	-0.0001868269450621087	0.9077410697937012
1903	1500	0.010480491244422902	0.029752910179396137	0.7713336038874485	0.510869690580461	-0.0001868906475759461	1.0362026691436768
1150	1500	0.02382489396566316	0.037797450615983726	0.7931220872199226	0.9486491246960538	-0.0001870566577188539	1.0753347873687744
1789	1000	0.014659528628000327	0.038704325580455425	0.7834132375814694	0.7772251557756756	-0.00018717329376259908	0.8357889652252197
838	1000	0.019618404784547894	0.03309289441421849	0.7390007102837881	0.9755037587188189	-0.00018727294513263933	0.9023244380950928
616	600	0.015574068529406643	0.03265488229438733	0.8660056574451642	0.43178311262698466	-0.00018737562860495445	0.7428529262542725
1721	2500	0.02064741151068187	0.03313208710773936	0.7882076004882956	0.9271857831098511	-0.0001874180077023678	1.468900442123413
1338	1000	0.020354112745039968	0.03877973850516415	0.7920066352216364	0.9017671910546758	-0.0001876539228084698	0.8761577606201172
1068	1000	0.015256578476971362	0.028622768390727096	0.757592236426384	0.895827180512171	-0.00018804174840254294	0.913989782333374
2169	2500	0.011185254882079488	0.029270481791726963	0.7320511873672947	0.9455692984547579	-0.0001881843837029469	1.3822824954986572
285	600	0.016274885464240395	0.03284668664395355	0.8179833182681369	0.08636346202092637	-0.00018823760243188647	0.7372827529907227
659	2500	0.013614804175520547	0.0363763292955787	0.5440311652404337	0.991969505139722	-0.00018863430545862923	1.3093326091766357
1806	1500	0.017927133472972354	0.029772336974276267	0.7501432368990039	0.927614869409712	-0.00018870366029279944	1.108198642730713
34	600	0.021362397126230677	0.036196535069789114	0.8838809185988821	0.5767991851947868	-0.00018871275045261507	0.7417802810668945
1290	2500	0.010735976476643353	0.02644074292875409	0.8128680263611985	0.5984333926863142	-0.0001887180147146369	1.4413096904754639
152	600	0.01574144203487106	0.03510357094492305	0.7704172136535515	0.9382773900496302	-0.00018873254390505993	0.7292027473449707
823	1500	0.018329289379915927	0.038793154444274586	0.7980098102176749	0.8606791661412971	-0.00018879087695251946	1.026655673980713
2246	1000	0.022159342867475278	0.037980023693334905	0.8260536053698315	0.525392380693706	-0.0001888839946899598	0.8891122341156006
1205	2500	0.013573859261494379	0.034732348718292394	0.8046214783765351	0.7405266624960284	-0.00018928376739749963	1.3329873085021973
1641	1500	0.012740374051066913	0.026920956030311707	0.6205491778141996	0.9675340775693942	-0.00018945126560042264	1.1050145626068115
2399	600	0.012052866974980942	0.028210334946556115	0.7758571318601414	0.3260924260482714	-0.00018966180882779655	0.7425227165222168
1009	1500	0.018264235332296992	0.032062885761571736	0.8220633516462208	0.8804269655094709	-0.00018984044422292403	1.0914089679718018
128	1500	0.01770028791156051	0.027652750317741448	0.7708561583515386	0.860110770123215	-0.0001899742866744915	1.143857479095459
2433	1500	0.019651233900671028	0.03610271524221196	0.7678839705518816	0.5535279489350617	-0.0001901664358251527	1.0705831050872803
1644	600	0.023533108699013365	0.03773277351395781	0.8581059099142463	0.6756321547533525	-0.00019022327787419682	0.7476961612701416
1325	600	0.01819525030134727	0.03182856375447112	0.7820979960025949	0.6832892140201977	-0.00019031158736579172	0.7491858005523682
548	2500	0.02001240571311058	0.03579001248081557	0.7432506921999207	0.6638555274647511	-0.00019067068655167973	1.413200855255127
967	1500	0.018552139617120354	0.031152027114707527	0.823521069955579	0.5548313301687047	-0.00019072696867794114	1.0988335609436035
2351	600	0.013423152306145441	0.032163651873088915	0.81214407369678	0.23646267055711356	-0.00019083197700036906	0.735410213470459
1271	1000	0.021384762896061484	0.032899567308020385	0.7380438913446993	0.9820587359918755	-0.00019090389855671414	0.9203672409057617
1358	2500	0.011320288798064926	0.03301146878653576	0.7459468413204482	0.08460977239027301	-0.0001910669216842213	1.3069264888763428
2806	600	0.018600507982494324	0.0399757978321608	0.8118262955364284	0.21472557725392694	-0.00019107012692208924	0.7263541221618652
2394	600	0.019341721049329415	0.039958291382598	0.7866851338559404	0.552994042568494	-0.00019111027561073303	0.7237582206726074
2573	1500	0.021683565987400934	0.03267339510919039	0.6917809692406042	0.9488700007246125	-0.00019129739354733176	1.1201026439666748
2443	1000	0.011357799453353027	0.02918273347556257	0.7775852372403278	0.31886084543385784	-0.00019147021057778837	0.8733901977539062
1929	1500	0.012477950383648125	0.029347897587927836	0.7710976232881606	0.6141464137254983	-0.00019156390774892543	1.068077564239502
1494	2500	0.013911518268255102	0.03883172531428672	0.7736375503749096	0.39481199301514935	-0.0001917434185510328	1.2708137035369873
859	2500	0.01589659755259507	0.029543147753151915	0.8689425770711183	0.42269800489393283	-0.00019188414307423182	1.4864802360534668
2148	1500	0.010576877463007022	0.024702910155761225	0.8041627773587998	0.6781425254923272	-0.00019197722635981825	1.1102674007415771
57	2500	0.011456480435677829	0.031241161303105114	0.6804769471671372	0.9928388988315221	-0.0001920002549200691	1.3488140106201172
2297	2500	0.017768808201638585	0.03930270754249674	0.8064677872235786	0.04755267652147355	-0.0001920010901064949	1.3443455696105957
2184	1000	0.013707216300964619	0.02936789926217235	0.7596630623160665	0.3946015997543134	-0.00019214421048063625	0.8952765464782715
87	600	0.016621008674613576	0.0385086627721475	0.8319310728829636	0.19314733208345414	-0.00019217883275617474	0.7241532802581787
990	2500	0.020520574197720333	0.0362260965667517	0.7984467210484794	0.3393521710570626	-0.00019241166156901094	1.432175874710083
1911	600	0.01682462608989436	0.039700479326689575	0.7843888683307274	0.09266976884525213	-0.00019273141777213042	0.7190806865692139
1776	600	0.015639486059913405	0.0264720059858415	0.8656051394416651	0.7496060145385295	-0.00019302577835373855	0.7763097286224365
989	1000	0.01333528359723855	0.02966550734401297	0.7408529596085993	0.570252788204094	-0.00019306606661664654	0.8955459594726562
513	600	0.022808764570540336	0.03636546397367218	0.8750767785742402	0.3190404566453413	-0.0001931195250789591	0.7405829429626465
80	600	0.017694639865157437	0.03247468349626104	0.8504971245826913	0.9305779078834177	-0.000193199124635154	0.7515296936035156
1762	2500	0.012193518144977936	0.026336200140271313	0.7585915770851789	0.7602023894669131	-0.00019323630602578092	1.4989159107208252
2748	2500	0.01820342990630051	0.0377659028774426	0.7641090778811619	0.2949741514489028	-0.00019336187005901945	1.3949925899505615
371	2500	0.017049582388185498	0.03884950240305443	0.8683847705998342	0.7308850955126809	-0.00019344178525210613	1.3471322059631348
2231	1500	0.02588631524530669	0.0391464808906824	0.8117139591432678	0.44848771002356236	-0.0001935221235371755	1.0840771198272705
1232	1500	0.020771618079814327	0.03376751421747904	0.7550789490197527	0.5576370354096942	-0.00019355907335259957	1.0881056785583496
