	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
431	0.21020607782774475	0.005832575735263394	1.145497499316282	3398.153820254856	0.1	-0.005104910764690564	0.03870582580566406
1016	0.16120310584270064	0.006099595948107109	0.8087812558710699	3492.4994057579843	0.1	-0.005104910764690565	0.03879857063293457
921	0.1982029762674143	0.005480405787198767	0.16909892316686576	3432.6956159486163	0.1	-0.005104910764690565	0.0383455753326416
67	0.17724731628303947	0.005566035783263848	0.3339858089926333	3482.2574344730765	0.1	-0.005104910764690565	0.038123130798339844
1215	0.21639094493005193	0.005698907029203231	1.102920293043209	3296.9057963538357	0.1	-0.005104910764690565	0.038283586502075195
662	0.1648927016591155	0.005100436004402731	0.6407546033519356	3418.0407526260433	0.1	-0.005104910764690565	0.0385746955871582
602	0.21509833311917398	0.005866813468619305	0.5328240301965373	3124.7390306622246	0.1	-0.005104910764690565	0.03862929344177246
809	0.14262237777953002	0.006304366262487234	0.5900531990777693	3474.5936648328084	0.1	-0.005104910764690565	0.03892064094543457
1191	0.20084483066722664	0.006882691147767723	0.16664699162622879	3281.9071549355103	0.1	-0.005104910764690565	0.03858661651611328
1163	0.1755883447402012	0.005037087257798959	0.6395696083734864	3265.8948008738707	0.1	-0.005104910764690565	0.03839731216430664
1300	0.19999806866968148	0.006837176232882405	0.8961513335489549	3276.669039142575	0.1	-0.005104910764690565	0.03815460205078125
1101	0.131450033417005	0.006092819988659118	0.36294175338288326	3491.760427127824	0.1	-0.005104910764690565	0.038170576095581055
888	0.21231850270449942	0.007160052025740262	0.2581761076221021	3434.365853790684	0.1	-0.005104910764690565	0.038587331771850586
404	0.18298367640177882	0.006548322315583024	1.1913725100315562	3345.07436377304	0.1	-0.005104910764690565	0.03852081298828125
1388	0.1683435839761642	0.0062705368154873575	0.8630732786049892	3349.4201552325294	0.1	-0.005104910764690565	0.038106679916381836
395	0.2144104866949035	0.006422392076607965	0.38419217539450523	3457.649051238523	0.1	-0.005104910764690565	0.03876376152038574
449	0.19653327015817665	0.005591623951737099	0.6441255124345139	3451.989842890196	0.1	-0.005104910764690565	0.0390782356262207
4	0.19011370499675273	0.005560484294224907	0.8664179497286849	3483.5164448183223	0.1	-0.005104910764690565	0.03843832015991211
352	0.21242806633180483	0.006640789075586484	0.8728654067362004	3426.4254697582874	0.1	-0.005104910764690565	0.038588762283325195
1307	0.1891453487397904	0.007170549486261394	0.35902644876145656	3424.532743987659	0.1	-0.005104910764690566	0.03829193115234375
482	0.19518775765693003	0.008222533273987837	1.1348917569896901	3350.152456507351	0.1	-0.005104910764690566	0.03846311569213867
1470	0.1888803852468559	0.007857008481052342	1.0933661558589054	3354.5744949537793	0.1	-0.005104910764690566	0.03823065757751465
356	0.17270628930832144	0.006985335640503498	0.8075396754919275	3474.6438107238246	0.1	-0.005104910764690566	0.03841662406921387
1459	0.22338444064293927	0.009168746293308438	0.8705959558719271	3390.9772714385854	0.1	-0.005104910764690566	0.03831219673156738
1490	0.2160729501045511	0.009263573257014206	0.3125505192186121	3360.850493962398	0.1	-0.005104910764690566	0.03833961486816406
45	0.21916689038135495	0.005922643083958163	0.7961066416541043	3279.19628693755	0.1	-0.005104910764690566	0.03862714767456055
1162	0.14770138401308375	0.005904897679080733	0.36720817182898113	3385.1856210674287	0.1	-0.005104910764690566	0.038474082946777344
22	0.19784143359965692	0.005714795187610818	0.7671568445517879	3122.072204818038	0.1	-0.005104910764690566	0.03865218162536621
1190	0.18209646676352378	0.007690334369135027	1.1929584021314645	3283.7834329355205	0.1	-0.005104910764690567	0.03868436813354492
87	0.22066068232612232	0.005386801350975211	1.1098187758642561	2642.809157195938	0.1	-0.005104910764690567	0.0382688045501709
765	0.20038278383972694	0.012024751247950577	0.3976953988727834	3419.6722315407187	0.1	-0.005104910764690567	0.038759708404541016
831	0.10743598286195592	0.007513272592802162	1.0920812537001479	3484.8664963179203	0.1	-0.005104910764690567	0.03837299346923828
764	0.2172272519427761	0.013339886589916524	1.0901095861923442	3385.23891264107	0.1	-0.005104910764690567	0.03870868682861328
753	0.13245192936721925	0.006351540900810389	0.18017530587255942	3096.677053428842	0.1	-0.005104910764690567	0.03884601593017578
830	0.2212994507778513	0.009620799479389175	0.6682438839450182	3339.422287096015	0.1	-0.005104910764690567	0.03856086730957031
794	0.1922561949614732	0.008973202957136932	1.0105219531108747	3377.4932868481555	0.1	-0.005104910764690567	0.041088104248046875
173	0.12644983811333982	0.005412731724515794	0.4779182614276516	3398.297904717279	0.1	-0.005104910764690567	0.03853964805603027
1488	0.21715604336178118	0.008990702524564386	0.6634999471156249	3305.151817339095	0.1	-0.005104910764690567	0.0383150577545166
58	0.1535792273891618	0.005384191475606331	1.0146817412366411	3070.331947145409	0.1	-0.005104910764690567	0.038504600524902344
1259	0.20436904556015723	0.007723933824650509	0.942147744650369	3247.2653381154732	0.1	-0.005104910764690567	0.03819775581359863
659	0.13505001233330427	0.006418091381476172	0.900704721479533	3147.1980068290895	0.1	-0.005104910764690567	0.03854489326477051
63	0.2026643428317917	0.008792758610028529	1.1898947229719612	3318.966411365527	0.1	-0.005104910764690567	0.03814387321472168
272	0.2065050532032007	0.005452219864759464	1.094967973312565	2728.0711459252652	0.1	-0.005104910764690567	0.0386347770690918
118	0.21107072020516618	0.006943932458437459	0.5049637410169192	2882.052365955439	0.1	-0.005104910764690567	0.038289785385131836
780	0.2204853369838012	0.007837190770564774	0.8760669870590719	3163.1164921948975	0.1	-0.005104910764690567	0.038765668869018555
866	0.185175428207423	0.006543755295522501	1.1678195673755978	3280.774118524467	0.1	-0.005104910764690567	0.038446664810180664
432	0.1649607261787269	0.0105415898323646	0.31948144217716823	3455.5349614850957	0.1	-0.005104910764690567	0.038492441177368164
1080	0.1816359936129277	0.00765744775707505	0.5409526005192274	3383.5884491981815	0.1	-0.005104910764690567	0.03848838806152344
978	0.19148365667078032	0.005638494359520172	0.30889275378898096	2840.226857350988	0.1	-0.005104910764690567	0.03855752944946289
1410	0.16354408100388307	0.00573768995531859	1.1977008170536454	3300.0028476252633	0.1	-0.005104910764690567	0.03833818435668945
1408	0.16349777019990716	0.010600266077130955	0.5819465318226577	3416.159265592839	0.1	-0.005104910764690567	0.03816342353820801
1385	0.18968457116512072	0.006680121023750491	0.47264432604084894	3280.8670409961383	0.1	-0.005104910764690567	0.03833270072937012
993	0.1645823498982425	0.005166204610191089	1.008395031418994	3074.5714286593857	0.1	-0.005104910764690567	0.038375139236450195
11	0.21442703910334784	0.00606411821041094	0.6966510384088057	3199.947728415111	0.1	-0.005104910764690567	0.0386357307434082
245	0.21253744479958084	0.01440944683431922	0.6727183156933156	3396.6258634044098	0.1	-0.005104910764690567	0.03844308853149414
419	0.1652820478995595	0.008298726336929721	0.4037321212020455	3455.720631940783	0.1	-0.005104910764690567	0.03862595558166504
73	0.22410084562343	0.009645448045091057	0.9246948457752014	3213.136615283349	0.1	-0.005104910764690567	0.03824615478515625
880	0.1949776564364889	0.005233058123921523	0.8516692957135639	2782.53357824539	0.1	-0.005104910764690567	0.038445234298706055
215	0.2187873290618692	0.01185509477798263	0.8719736069167293	3339.7945408268292	0.1	-0.005104910764690567	0.04130125045776367
486	0.20532477959859835	0.0058606816407562904	0.3268799827704947	2760.5463048130805	0.1	-0.005104910764690567	0.03857278823852539
