	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
399	0.12	0.015	0.18	1200	0.05	-0.004987432476586018	0.5255191326141357
396	0.12	0.015	0.12	1200	0.05	-0.004987432476586018	0.44326114654541016
402	0.12	0.015	0.25	1200	0.05	-0.004987432476586018	0.8632879257202148
405	0.12	0.015	0.4	1200	0.05	-0.004987432476586018	0.34523820877075195
407	0.12	0.015	0.4	1200	0.1	-0.0049874324765862834	0.3126256465911865
398	0.12	0.015	0.12	1200	0.1	-0.0049874324765862834	0.5193297863006592
401	0.12	0.015	0.18	1200	0.1	-0.0049874324765862834	0.47154927253723145
404	0.12	0.015	0.25	1200	0.1	-0.0049874324765862834	0.3509693145751953
408	0.12	0.02	0.12	1200	0.05	-0.004987432476586293	0.3130972385406494
411	0.12	0.02	0.18	1200	0.05	-0.004987432476586293	0.31183862686157227
417	0.12	0.02	0.4	1200	0.05	-0.004987432476586293	0.309983491897583
414	0.12	0.02	0.25	1200	0.05	-0.004987432476586293	0.7926678657531738
400	0.12	0.015	0.18	1200	0.075	-0.004987432476586375	0.6878378391265869
406	0.12	0.015	0.4	1200	0.075	-0.004987432476586375	0.310222864151001
397	0.12	0.015	0.12	1200	0.075	-0.004987432476586375	0.4708998203277588
403	0.12	0.015	0.25	1200	0.075	-0.004987432476586375	0.9309132099151611
252	0.08	0.015	0.12	1200	0.05	-0.004987432476586432	0.31084728240966797
261	0.08	0.015	0.4	1200	0.05	-0.004987432476586432	0.31466007232666016
258	0.08	0.015	0.25	1200	0.05	-0.004987432476586432	0.3223888874053955
255	0.08	0.015	0.18	1200	0.05	-0.004987432476586432	0.31686902046203613
429	0.12	0.025	0.4	1200	0.05	-0.004987432476586566	0.3122212886810303
420	0.12	0.025	0.12	1200	0.05	-0.004987432476586566	0.4335060119628906
423	0.12	0.025	0.18	1200	0.05	-0.004987432476586566	0.42212653160095215
426	0.12	0.025	0.25	1200	0.05	-0.004987432476586566	1.017552137374878
413	0.12	0.02	0.18	1200	0.1	-0.004987432476586646	0.4225423336029053
419	0.12	0.02	0.4	1200	0.1	-0.004987432476586646	0.318195104598999
410	0.12	0.02	0.12	1200	0.1	-0.004987432476586646	0.310793399810791
416	0.12	0.02	0.25	1200	0.1	-0.004987432476586646	0.39183950424194336
412	0.12	0.02	0.18	1200	0.075	-0.0049874324765867735	0.3840172290802002
409	0.12	0.02	0.12	1200	0.075	-0.0049874324765867735	0.30948400497436523
415	0.12	0.02	0.25	1200	0.075	-0.0049874324765867735	0.3299403190612793
418	0.12	0.02	0.4	1200	0.075	-0.0049874324765867735	0.3113853931427002
263	0.08	0.015	0.4	1200	0.1	-0.004987432476586829	0.3155214786529541
257	0.08	0.015	0.18	1200	0.1	-0.004987432476586829	0.35642337799072266
254	0.08	0.015	0.12	1200	0.1	-0.004987432476586829	0.31081652641296387
260	0.08	0.015	0.25	1200	0.1	-0.004987432476586829	0.3171844482421875
270	0.08	0.02	0.25	1200	0.05	-0.004987432476586843	0.370025634765625
273	0.08	0.02	0.4	1200	0.05	-0.004987432476586843	0.322406530380249
267	0.08	0.02	0.18	1200	0.05	-0.004987432476586843	0.5319488048553467
264	0.08	0.02	0.12	1200	0.05	-0.004987432476586843	0.348710298538208
366	0.12	0.015	0.25	1000	0.05	-0.0049874324765869105	0.34436941146850586
369	0.12	0.015	0.4	1000	0.05	-0.0049874324765869105	0.3352324962615967
363	0.12	0.015	0.18	1000	0.05	-0.0049874324765869105	0.40131330490112305
360	0.12	0.015	0.12	1000	0.05	-0.0049874324765869105	0.42990779876708984
262	0.08	0.015	0.4	1200	0.075	-0.004987432476586971	0.31990742683410645
259	0.08	0.015	0.25	1200	0.075	-0.004987432476586971	0.38264036178588867
256	0.08	0.015	0.18	1200	0.075	-0.004987432476586971	0.31664013862609863
253	0.08	0.015	0.12	1200	0.075	-0.004987432476586971	0.3183586597442627
431	0.12	0.025	0.4	1200	0.1	-0.004987432476587007	0.33025050163269043
428	0.12	0.025	0.25	1200	0.1	-0.004987432476587007	0.3283729553222656
425	0.12	0.025	0.18	1200	0.1	-0.004987432476587007	0.4403836727142334
422	0.12	0.025	0.12	1200	0.1	-0.004987432476587007	0.6560509204864502
427	0.12	0.025	0.25	1200	0.075	-0.004987432476587166	0.3436093330383301
424	0.12	0.025	0.18	1200	0.075	-0.004987432476587166	0.48588991165161133
421	0.12	0.025	0.12	1200	0.075	-0.004987432476587166	0.7786223888397217
430	0.12	0.025	0.4	1200	0.075	-0.004987432476587166	0.3170168399810791
117	0.05	0.015	0.4	1200	0.05	-0.004987432476587176	0.3249356746673584
108	0.05	0.015	0.12	1200	0.05	-0.004987432476587176	0.3085973262786865
111	0.05	0.015	0.18	1200	0.05	-0.004987432476587176	0.31202173233032227
114	0.05	0.015	0.25	1200	0.05	-0.004987432476587176	0.4047725200653076
282	0.08	0.025	0.25	1200	0.05	-0.004987432476587252	0.3170504570007324
279	0.08	0.025	0.18	1200	0.05	-0.004987432476587252	0.33963656425476074
276	0.08	0.025	0.12	1200	0.05	-0.004987432476587252	0.5154714584350586
285	0.08	0.025	0.4	1200	0.05	-0.004987432476587252	0.32155370712280273
272	0.08	0.02	0.25	1200	0.1	-0.00498743247658737	0.3301997184753418
269	0.08	0.02	0.18	1200	0.1	-0.00498743247658737	0.5745337009429932
275	0.08	0.02	0.4	1200	0.1	-0.00498743247658737	0.3594026565551758
266	0.08	0.02	0.12	1200	0.1	-0.00498743247658737	0.4969654083251953
371	0.12	0.015	0.4	1000	0.1	-0.0049874324765874535	0.3172163963317871
362	0.12	0.015	0.12	1000	0.1	-0.0049874324765874535	0.3559861183166504
368	0.12	0.015	0.25	1000	0.1	-0.0049874324765874535	0.3454575538635254
365	0.12	0.015	0.18	1000	0.1	-0.0049874324765874535	0.3399240970611572
372	0.12	0.02	0.12	1000	0.05	-0.004987432476587471	0.3123288154602051
