	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
0	0.05	0.015	0.12	200	0.05		0.0009305477142333984
1	0.05	0.015	0.12	200	0.075		0.0003628730773925781
2	0.05	0.015	0.12	200	0.1		0.0003573894500732422
3	0.05	0.015	0.18	200	0.05		0.00032782554626464844
4	0.05	0.015	0.18	200	0.075		0.0003230571746826172
5	0.05	0.015	0.18	200	0.1		0.00032711029052734375
6	0.05	0.015	0.25	200	0.05		0.00032782554626464844
7	0.05	0.015	0.25	200	0.075		0.00033736228942871094
8	0.05	0.015	0.25	200	0.1		0.00032258033752441406
9	0.05	0.015	0.4	200	0.05		0.0003161430358886719
10	0.05	0.015	0.4	200	0.075		0.00033283233642578125
11	0.05	0.015	0.4	200	0.1		0.00031948089599609375
12	0.05	0.02	0.12	200	0.05		0.0003228187561035156
13	0.05	0.02	0.12	200	0.075		0.0003147125244140625
14	0.05	0.02	0.12	200	0.1		0.0003349781036376953
15	0.05	0.02	0.18	200	0.05		0.0003147125244140625
16	0.05	0.02	0.18	200	0.075		0.00032711029052734375
17	0.05	0.02	0.18	200	0.1		0.0003330707550048828
18	0.05	0.02	0.25	200	0.05		0.0005159378051757812
19	0.05	0.02	0.25	200	0.075		0.000514984130859375
20	0.05	0.02	0.25	200	0.1		0.0003693103790283203
21	0.05	0.02	0.4	200	0.05		0.0003249645233154297
22	0.05	0.02	0.4	200	0.075		0.0003159046173095703
23	0.05	0.02	0.4	200	0.1		0.00032210350036621094
24	0.05	0.025	0.12	200	0.05		0.00032520294189453125
25	0.05	0.025	0.12	200	0.075		0.00033545494079589844
26	0.05	0.025	0.12	200	0.1		0.00031757354736328125
27	0.05	0.025	0.18	200	0.05		0.0003151893615722656
28	0.05	0.025	0.18	200	0.075		0.00031185150146484375
29	0.05	0.025	0.18	200	0.1		0.00040340423583984375
30	0.05	0.025	0.25	200	0.05		0.00033164024353027344
31	0.05	0.025	0.25	200	0.075		0.0003592967987060547
32	0.05	0.025	0.25	200	0.1		0.00032448768615722656
33	0.05	0.025	0.4	200	0.05		0.0003230571746826172
34	0.05	0.025	0.4	200	0.075		0.0003151893615722656
35	0.05	0.025	0.4	200	0.1		0.00031375885009765625
36	0.05	0.015	0.12	500	0.05		0.00032329559326171875
37	0.05	0.015	0.12	500	0.075		0.00031638145446777344
38	0.05	0.015	0.12	500	0.1		0.00033855438232421875
