	Q	R	eps_max	Q_scale_factor	mean_test_score	mean_score_time
175	0.05	0.015	0.12	499.4278012062292	-0.0024863491768528667	0.03915858268737793
155	0.05	0.015	0.12	495.53667025969787	-0.002486393715378995	0.03883218765258789
86	0.05	0.015	0.12	491.98072465757275	-0.0024864347833724472	0.03855395317077637
27	0.05	0.015	0.12	491.9222650524755	-0.0024864354614813336	0.03915524482727051
170	0.05	0.015	0.12	491.88005440254074	-0.0024864359511682995	0.03899836540222168
158	0.05	0.015	0.12	483.9659011592385	-0.002486528658609217	0.03870081901550293
2	0.05	0.015	0.12	483.9118880189068	-0.0024865292975172148	0.03870820999145508
72	0.05	0.015	0.12	482.3004907468938	-0.002486548397489279	0.038741111755371094
172	0.05	0.015	0.12	481.7267282982874	-0.0024865552166780333	0.039118051528930664
107	0.05	0.015	0.12	480.7266243721633	-0.0024865671261041027	0.03852367401123047
111	0.05	0.015	0.12	480.02424624888664	-0.002486575507804262	0.038542985916137695
62	0.05	0.015	0.12	479.82378887089686	-0.0024865779026043266	0.03949713706970215
12	0.05	0.015	0.12	477.6262667355208	-0.002486604234061893	0.03895235061645508
49	0.05	0.015	0.12	476.2584752513237	-0.0024866786986225786	0.03931093215942383
88	0.05	0.015	0.12	474.5642364284975	-0.0024866999236003028	0.038495540618896484
20	0.05	0.015	0.12	472.03583511924205	-0.0024867317651503748	0.0389399528503418
108	0.05	0.015	0.12	471.05545337651023	-0.002486744165674197	0.038587093353271484
173	0.05	0.015	0.12	460.808120068633	-0.002486748844552263	0.03908371925354004
64	0.05	0.015	0.12	470.2356217614666	-0.00248675455878859	0.0393366813659668
176	0.05	0.015	0.12	459.2919189356959	-0.0024867682550080987	0.038950443267822266
194	0.05	0.015	0.12	457.9620299717512	-0.0024867853415372772	0.03890585899353027
14	0.05	0.015	0.12	467.4214002323192	-0.0024867903978931225	0.03880119323730469
197	0.05	0.015	0.12	466.77994853194633	-0.002486798602305177	0.03908109664916992
139	0.05	0.015	0.12	464.86443945242644	-0.00248682318154313	0.03856968879699707
91	0.05	0.015	0.12	454.80299954590333	-0.002486826160651393	0.03866887092590332
54	0.05	0.015	0.12	454.4902068006535	-0.0024868302202437887	0.03942131996154785
52	0.05	0.015	0.12	452.5474330163695	-0.0024868555073299576	0.03921079635620117
43	0.05	0.015	0.12	452.1934771907995	-0.0024868601279553243	0.039298295974731445
36	0.05	0.015	0.12	450.90716676605064	-0.0024868769551222355	0.03906679153442383
127	0.05	0.015	0.12	450.6888638488464	-0.0024868798164228746	0.0386202335357666
46	0.05	0.015	0.12	449.7428472836057	-0.0024868922344653947	0.039277076721191406
120	0.05	0.015	0.12	449.2543388433694	-0.0024868986588071026	0.03853034973144531
6	0.05	0.015	0.12	448.58193240052447	-0.002486907514828887	0.039118289947509766
15	0.05	0.015	0.12	448.0129504345995	-0.0024869150207063725	0.03895282745361328
102	0.05	0.015	0.12	447.6208291593698	-0.0024869201999100496	0.03861117362976074
78	0.05	0.015	0.12	447.24026580428426	-0.0024869252314835342	0.03864479064941406
178	0.05	0.015	0.12	446.67311692143164	-0.002486932739187136	0.03895092010498047
174	0.05	0.015	0.12	446.44973863503844	-0.0024869356992168975	0.03905057907104492
104	0.05	0.015	0.12	445.9582979492335	-0.0024869422174385327	0.03848981857299805
53	0.05	0.015	0.12	445.0684453063002	-0.002486954041198123	0.03923821449279785
141	0.05	0.015	0.12	444.1153749024875	-0.0024869667353644553	0.038585662841796875
191	0.05	0.015	0.12	441.69045494647423	-0.0024869991762465015	0.038773298263549805
159	0.05	0.015	0.12	441.6297746829439	-0.002486999990678832	0.03864479064941406
3	0.05	0.015	0.12	440.6439282064756	-0.002487013240604444	0.03899741172790527
23	0.05	0.015	0.12	439.0674990198404	-0.0024870344995683124	0.03877091407775879
41	0.05	0.015	0.12	436.38297248869276	-0.002487070906071306	0.04028439521789551
9	0.05	0.015	0.12	433.9946145822008	-0.0024871035147933838	0.03908801078796387
92	0.05	0.015	0.12	432.71072658563367	-0.002487121129988645	0.03900456428527832
188	0.05	0.015	0.12	430.30241072047113	-0.002487154336433557	0.038927555084228516
51	0.05	0.015	0.12	429.0067264903207	-0.002487172290831998	0.03930544853210449
190	0.05	0.015	0.12	426.9622949831554	-0.002487200748815109	0.03887581825256348
136	0.05	0.015	0.12	425.5230303579027	-0.002487220877869729	0.038590431213378906
16	0.05	0.015	0.12	424.0770665736767	-0.0024872411801960793	0.03918194770812988
165	0.05	0.015	0.12	423.2597578280562	-0.0024872526912809788	0.03876900672912598
179	0.05	0.015	0.12	423.01338326343796	-0.002487256166305125	0.039072513580322266
161	0.05	0.015	0.12	420.07502004278894	-0.0024872977925001405	0.03922557830810547
22	0.05	0.015	0.12	418.933644288943	-0.0024873140528122524	0.03876018524169922
75	0.05	0.015	0.12	415.86634697107695	-0.0024873580058558872	0.038764238357543945
135	0.05	0.015	0.12	415.50600099397013	-0.0024873631941075805	0.03865337371826172
150	0.05	0.015	0.12	411.2146844732631	-0.002487425384169984	0.0386502742767334
18	0.05	0.015	0.12	408.9408234173728	-0.0024874586428221815	0.03973889350891113
114	0.05	0.015	0.12	408.1012991078078	-0.002487470976363793	0.038522958755493164
146	0.05	0.015	0.12	405.43101171004537	-0.002487510402319398	0.03867602348327637
199	0.05	0.015	0.12	404.9791170390629	-0.0024875171041914535	0.038938045501708984
77	0.05	0.015	0.12	404.8561393884752	-0.002487518929525996	0.03957653045654297
196	0.05	0.015	0.12	404.33036950863357	-0.002487526740689431	0.03903603553771973
103	0.05	0.015	0.12	403.4976214489599	-0.0024875391366493277	0.0393071174621582
182	0.05	0.015	0.12	399.50969173293123	-0.0024875989136003275	0.03887534141540527
4	0.05	0.015	0.12	399.34297760222813	-0.0024876014276162396	0.03894686698913574
109	0.05	0.015	0.12	397.48217260671584	-0.002487629571124479	0.03855013847351074
167	0.05	0.015	0.12	396.00228647211543	-0.0024876520628623606	0.03917407989501953
169	0.05	0.015	0.12	372.3907363757281	-0.0024878850477696615	0.039051055908203125
65	0.05	0.015	0.12	372.24653362563464	-0.002487887253640183	0.03940272331237793
87	0.05	0.015	0.12	372.18508913685815	-0.002487888193840703	0.03849458694458008
90	0.05	0.015	0.12	371.69057576007947	-0.0024878957668803135	0.03854990005493164
85	0.05	0.015	0.12	369.89735482077356	-0.0024879233211376113	0.03860974311828613
8	0.05	0.015	0.12	369.40468956512126	-0.002487930916896296	0.03894925117492676
89	0.05	0.015	0.12	369.13309919445624	-0.0024879351089268594	0.03852653503417969
79	0.05	0.015	0.12	368.40843877538407	-0.0024879463106657358	0.03867816925048828
162	0.05	0.015	0.12	368.1572690438295	-0.002487950198846761	0.039327383041381836
153	0.05	0.015	0.12	364.00465637975265	-0.002488014906026426	0.03867745399475098
63	0.05	0.015	0.12	362.96295276748174	-0.002488031264779795	0.039092063903808594
113	0.05	0.015	0.12	362.0400457424265	-0.0024880458009082194	0.0386812686920166
94	0.05	0.015	0.12	361.9398344356548	-0.0024880473817113116	0.038625240325927734
33	0.05	0.015	0.12	361.57893299429946	-0.002488053078790082	0.03902864456176758
67	0.05	0.015	0.12	360.8750700857672	-0.002488064207661064	0.03985857963562012
160	0.05	0.015	0.12	360.8296942208777	-0.002488064925919099	0.0540621280670166
143	0.05	0.015	0.12	359.9384957866308	-0.0024880790528197297	0.03870654106140137
96	0.05	0.015	0.12	359.8440980566347	-0.002488080551412312	0.038678646087646484
115	0.05	0.015	0.12	359.6432230720023	-0.0024880837417947505	0.038582563400268555
121	0.05	0.015	0.12	356.5561006861142	-0.0024881330193524	0.03873610496520996
35	0.05	0.015	0.12	355.81937731021503	-0.0024881448481238063	0.03920388221740723
56	0.05	0.015	0.12	355.0501791748791	-0.002488157226928382	0.03919363021850586
180	0.05	0.015	0.12	354.55818343709836	-0.0024881651600718773	0.03912472724914551
137	0.05	0.015	0.12	353.1552476746737	-0.0024881878478911316	0.038475990295410156
5	0.05	0.015	0.12	352.8254068462323	-0.002488193196286931	0.03896641731262207
38	0.05	0.015	0.12	351.48040782917013	-0.0024882150623362874	0.039231300354003906
66	0.05	0.015	0.12	351.03943334963316	-0.002488222251326196	0.04004335403442383
83	0.05	0.015	0.12	349.0128865786007	-0.0024882554166852397	0.038826942443847656
70	0.05	0.015	0.12	348.81556168278837	-0.002488258657252038	0.039383888244628906
100	0.05	0.015	0.12	346.38138220662495	-0.0024882987984090163	0.03871631622314453
181	0.05	0.015	0.12	346.2879902776514	-0.0024883003446473256	0.03890252113342285
132	0.05	0.015	0.12	345.92000948845305	-0.0024883064415479037	0.038649559020996094
1	0.05	0.015	0.12	345.8529387681191	-0.002488307553576243	0.049028873443603516
19	0.05	0.015	0.12	345.7219633477439	-0.002488309725821467	0.03887057304382324
50	0.05	0.015	0.12	345.6651835317065	-0.0024883106678024766	0.03922677040100098
97	0.05	0.015	0.12	345.6585760190877	-0.0024883107774325663	0.038713693618774414
123	0.05	0.015	0.12	345.52308788578284	-0.0024883130259216787	0.03852510452270508
195	0.05	0.015	0.12	391.1322294229973	-0.0024883266829991736	0.03912496566772461
71	0.05	0.015	0.12	389.9974957869341	-0.002488343076467958	0.03910684585571289
26	0.05	0.015	0.12	342.4915236293116	-0.002488363590203877	0.03892660140991211
48	0.05	0.015	0.12	388.4021917335065	-0.002488366211632936	0.03911948204040527
149	0.05	0.015	0.12	387.71086162410325	-0.002488376269409334	0.0389556884765625
112	0.05	0.015	0.12	338.52951535177306	-0.002488430417776432	0.038442373275756836
125	0.05	0.015	0.12	338.51914271743937	-0.0024884305938555726	0.03854489326477051
156	0.05	0.015	0.12	383.12257865206243	-0.0024884435193977573	0.0387883186340332
140	0.05	0.015	0.12	382.95690060914853	-0.002488445964061123	0.038514137268066406
30	0.05	0.015	0.12	382.4933051015754	-0.0024884528107554467	0.03885078430175781
59	0.05	0.015	0.12	336.8956022033508	-0.002488458227181597	0.03940844535827637
198	0.05	0.015	0.12	336.60684374573526	-0.002488463157258485	0.038964271545410156
129	0.05	0.015	0.12	379.6803749591447	-0.0024884945481994333	0.03961753845214844
45	0.05	0.015	0.12	334.32397479313124	-0.0024885022975092105	0.03916358947753906
124	0.05	0.015	0.12	334.2162666469318	-0.0024885041514218094	0.038541555404663086
119	0.05	0.015	0.12	378.8812462988249	-0.0024885064667023566	0.03856492042541504
84	0.05	0.015	0.12	333.6132842214092	-0.0024885145422972026	0.03860878944396973
164	0.05	0.015	0.12	377.4544656707086	-0.0024885278142658066	0.03936314582824707
106	0.05	0.015	0.12	331.3147860089656	-0.0024885543409076554	0.038694143295288086
39	0.05	0.015	0.12	330.89600124619346	-0.0024885616248079222	0.03914165496826172
93	0.05	0.015	0.12	330.5672026820753	-0.002488567350676173	0.03861069679260254
184	0.05	0.015	0.12	328.3965631294166	-0.002488605308870117	0.03889966011047363
122	0.05	0.015	0.12	326.6950558355428	-0.0024886352563977215	0.03854107856750488
44	0.05	0.015	0.12	325.3718133688333	-0.002488658664893511	0.03899550437927246
76	0.05	0.015	0.12	324.7361962752436	-0.0024886699463307752	0.038552045822143555
189	0.05	0.015	0.12	324.6825461001871	-0.0024886708996667713	0.039009809494018555
0	0.05	0.015	0.12	322.7727995088559	-0.0024887049480900396	0.06314802169799805
101	0.05	0.015	0.12	319.0821678302491	-0.002488771379497753	0.03867197036743164
117	0.05	0.015	0.12	315.9581917115862	-0.002488828274991913	0.039165496826171875
183	0.05	0.015	0.12	312.85200664675364	-0.002488885463761728	0.03884601593017578
68	0.05	0.015	0.12	311.7385563141987	-0.00248890611620359	0.0404052734375
116	0.05	0.015	0.12	310.5869546816738	-0.0024889275619637986	0.03865361213684082
21	0.05	0.015	0.12	307.5784214956114	-0.0024889840047606446	0.03896069526672363
105	0.05	0.015	0.12	306.7513565020656	-0.0024889996279901425	0.038712263107299805
17	0.05	0.015	0.12	306.7102147339317	-0.0024890004063697086	0.03893256187438965
73	0.05	0.015	0.12	305.80693518741396	-0.002489017525011747	0.03874063491821289
110	0.05	0.015	0.12	301.0017344876045	-0.0024891095399108333	0.038574934005737305
37	0.05	0.015	0.12	297.66119943050217	-0.0024891744694904797	0.039095163345336914
154	0.05	0.015	0.12	288.8535183104435	-0.002489186703886565	0.03879046440124512
58	0.05	0.015	0.12	287.0557509686552	-0.0024892235268656284	0.03971266746520996
147	0.05	0.015	0.12	286.4616208561751	-0.0024892357490531474	0.038654327392578125
13	0.05	0.015	0.12	286.08318818471747	-0.0024892435477852815	0.038741350173950195
126	0.05	0.015	0.12	292.1865218336251	-0.002489282643373259	0.03852701187133789
148	0.05	0.015	0.12	281.64607231569016	-0.002489335798340309	0.03875732421875
168	0.05	0.015	0.12	281.26201540270193	-0.00248934385427696	0.039293766021728516
69	0.05	0.015	0.12	289.07715122034057	-0.0024893450857788988	0.03999042510986328
74	0.05	0.015	0.12	277.21382388568895	-0.0024894294733570745	0.03871774673461914
