	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
524	1000	0.15826507613695887	0.49876263218592076	0.7595793371530395	2.6242142278061875	0.86889793386846	0.1	-0.0012724724790841846	0.7328643798828125
2517	1500	0.12493514624488536	0.2986367650317749	0.8064994818694093	2.4636480173345405	1.3325936957601483	0.1	-0.001479357560062406	0.9741857051849365
2781	2500	0.15174207322254402	0.3329158104689395	0.33777587705208556	2.395692530676093	1.2966073741908162	0.1	-0.0015072858242630046	1.3249435424804688
1854	2500	0.14050702319346461	0.37768380927233824	1.0776374252666765	1.8224766214947867	1.0337737298183898	0.1	-0.0015124877934308695	1.2107295989990234
2496	2500	0.29771336043404234	0.4565363239095555	0.8512875654908482	1.4951159483644993	1.5736852263260959	0.1	-0.0015125447154689575	1.320322036743164
1812	2500	0.12554610900913687	0.3492913831055654	0.2709033970932143	2.7388721338867854	2.110404359180103	0.1	-0.0015625461373768973	1.2267897129058838
1706	2500	0.1386881479845971	0.33756453342466036	0.5206868834417557	2.3832926916087693	1.3317506649550834	0.1	-0.0015655835038093711	1.2864878177642822
1068	2500	0.14470849039769135	0.3338135054241722	0.773603173695235	2.842377300395331	2.0632492536049343	0.1	-0.0015662841859501592	1.327763319015503
336	2500	0.10109267541695974	0.3506465268641693	0.5091491166323888	2.1529678868024402	1.82230751207169	0.1	-0.0015720096286373118	1.1955020427703857
2308	2500	0.17695766488073855	0.42327700060208173	0.6335849716113064	2.499182503837203	2.278568006716897	0.1	-0.0015871884692879837	1.3210153579711914
1049	2500	0.10153503252861024	0.4319340811337634	0.4510473387233902	2.6338016502264336	2.3286957675756366	0.1	-0.0015969175967004117	1.1495599746704102
2644	2500	0.1665116307149024	0.3592612405152271	0.6843909160255707	2.638067203269531	2.1218991863683607	0.1	-0.0015983635966612896	1.3280105590820312
1564	2500	0.15409028606765238	0.40356507715818557	0.3588901026208321	1.8601876694507027	2.23158791409414	0.1	-0.0016018283676952736	1.2357409000396729
806	2500	0.13105778820402006	0.2795964706860047	1.017249005308333	1.7376392736207062	2.278741908143906	0.1	-0.001606155622178154	1.3810997009277344
995	1000	0.11813863734381304	0.27395737484015736	0.33457923733075556	1.7045261059146415	1.5294793780319131	0.1	-0.0016077961120443273	0.8014025688171387
1404	2500	0.12732098537799547	0.31566265159925966	1.2710755799200084	2.125054929769215	1.2868313719554474	0.1	-0.001615103621339775	1.3132154941558838
671	1500	0.16539444214404153	0.34304290810870924	0.35239890117054007	2.7154642203033896	2.090860990163772	0.1	-0.0016179062461322614	0.9840364456176758
597	2500	0.21482399219927914	0.34502334953836133	0.36513595845269686	2.3764668539117366	2.0862527114377536	0.1	-0.0016206273363360887	1.3404345512390137
951	2500	0.10490855525954258	0.33836522509934674	0.7255981695482194	1.62175679749356	2.1372710894512865	0.1	-0.0016213441848786283	1.2309913635253906
571	2500	0.101329141764115	0.34295453329343606	1.2176131134239696	2.4091435627546995	2.2211298176692145	0.1	-0.0016271207605509242	1.238027811050415
1568	2500	0.1800096675573486	0.43633883682955255	0.9670626236933904	1.877369339062885	2.1982343086114	0.1	-0.0016287501565546755	1.320866584777832
330	2500	0.12686401863978422	0.33320079104948186	2.729981811418376	2.6044888667824657	2.2867201555289913	0.1	-0.0016304940898515816	1.3523826599121094
480	2500	0.1819575866873515	0.4383975549371541	0.9907635267757107	2.6146537902540024	2.09192587306479	0.1	-0.0016309250061873062	1.3150660991668701
973	2500	0.10102039257312251	0.30093953408908775	0.9703119029502021	2.5214244704644915	1.595149963710432	0.1	-0.0016325212553686102	1.2415134906768799
2236	2500	0.1516839593250154	0.40922452992555725	0.7961620668218735	2.6272599630021647	2.2657964317284875	0.1	-0.0016328089348763288	1.2412631511688232
47	2500	0.19164830184970927	0.36052580095900044	0.7083844909747464	1.8245208441495797	2.27121141375196	0.1	-0.001635894860492991	1.3356940746307373
696	2500	0.1258368877636205	0.4172206248779724	0.5543623338948047	1.9398059283438824	2.026679029161925	0.1	-0.0016375904557394932	1.2082054615020752
555	2500	0.17158768824838888	0.2783904776264473	1.5877953298206096	2.3669517208278807	1.411534592927754	0.1	-0.001638419664988983	1.3686225414276123
2466	2500	0.1263108423502115	0.3161366524212522	0.44621189011010387	0.989989211015366	1.6618769090965868	0.1	-0.0016385316436297367	1.311192512512207
1607	2500	0.14484192190000875	0.2828374105830216	1.1544183160871324	2.2044111703253186	1.1613472086980816	0.1	-0.0016394733302356485	1.3312859535217285
2823	2500	0.149783598387566	0.4410550517862061	0.5849320996351257	1.9874454310515042	2.3367479535891267	0.1	-0.00164047337716445	1.2160875797271729
2113	2500	0.12985760874588353	0.29540093307819215	2.369753309695339	2.9773516904606225	2.318445857860275	0.1	-0.001642516708095538	1.3735227584838867
1942	2500	0.14874158315496122	0.30027997981628873	2.3864613255229443	2.1307082657012533	1.862351048323672	0.1	-0.0016451653542228601	1.3799850940704346
380	2500	0.12310663703522252	0.37186552022063724	0.31495204920258735	2.110934587893743	1.255731217636088	0.1	-0.0016509000317530347	1.186535358428955
2811	2500	0.1467563249936199	0.310663133537986	0.8320559858578969	2.054612642775786	0.8055606541169823	0.1	-0.0016529291178061251	1.322530746459961
2630	2500	0.10498274261872843	0.40677762332338274	0.6492217383404968	2.4320978406604077	2.1516819549002264	0.1	-0.001652949028062459	1.1688287258148193
1633	1500	0.18977754652495038	0.360645514672231	0.6367903309945816	2.1782339989007466	1.9049206574920274	0.1	-0.0016537439744783713	0.9768838882446289
891	2500	0.1404846577705482	0.36250044321246266	0.41013424921381714	1.3994354104622366	1.7694417537327796	0.1	-0.0016547531816749404	1.255563497543335
938	2500	0.19671038369898425	0.49734790280831276	1.2117556086651682	2.761280636053151	1.3906096383972735	0.1	-0.001664472425524539	1.2206645011901855
2072	2500	0.20770920853287284	0.36207974252861364	0.33266444914122845	1.2433615099853577	1.6289928550786714	0.1	-0.001665100987786922	1.327406644821167
757	1500	0.14582285899097755	0.32808118326728725	0.27032182302188723	2.086529634977813	2.0929843210032653	0.1	-0.0016656405281320862	0.9800548553466797
