	num_particles	process_std	measurement_std	Q	R	std_a	mean_test_score	mean_score_time
1342	1500	0.012931189148942732	0.028669505639971393	0.27598760371948877	0.08935089673440025	0.10511209566916793	-0.00019375735752829857	0.9772520065307617
1142	2500	0.01495423339565287	0.03659804866926297	0.22631772288801802	0.09294171140261123	0.2300461655734107	-0.00019667529373822794	1.2953341007232666
2316	2500	0.013032671301130064	0.028582667723039384	0.2117294875156962	0.08101747198291012	0.21731862754752032	-0.00019684379014545727	1.4009714126586914
227	2500	0.0170919704000644	0.029538040045700948	0.1203229051968092	0.07808501648486964	0.06103369561996981	-0.00019699813303490396	1.3519096374511719
2555	2500	0.012286403851353803	0.03249047362545897	0.1602831899269356	0.0737201912339776	0.2603412615506747	-0.0001973218354174505	1.3376390933990479
1235	2500	0.010397917709281425	0.026662488330227413	0.3152195096499584	0.06977121148237472	0.1735639350328932	-0.0001975913778919121	1.3868000507354736
2718	2500	0.018510666286209176	0.038096364376858344	0.14703059851575276	0.06124373973018029	0.23235118813740124	-0.0001981586012355317	1.3203339576721191
702	600	0.016442693617110385	0.0292406273253986	0.1791254368221749	0.09667347111567737	0.09626844835897874	-0.00019841776704802034	0.6611886024475098
879	2500	0.012973571692441111	0.02893892791035501	0.2687075415830441	0.08676416460198844	0.179596257117193	-0.00019853779851240882	1.37575364112854
607	1000	0.013115315742994106	0.028355734210195934	0.2094648969785561	0.07613567742912097	0.22741239622021434	-0.0001986989413621162	0.8342511653900146
1179	1500	0.018566067448663175	0.03938621632264397	0.2605637863998168	0.09268843521987791	0.16027224056032094	-0.00019895676152477924	0.9350781440734863
1443	1500	0.013183139014785707	0.03303725112439781	0.2026663387468088	0.06404113334782893	0.27387839129394853	-0.00019927327279237913	0.990891695022583
2366	2500	0.01579448483766183	0.029629155023823687	0.6012193706351531	0.0935899859617837	0.12667933677921459	-0.0001996143804828315	1.3708815574645996
1944	1500	0.013171822205822905	0.02749440514496048	0.11427388028098555	0.07355835682997364	0.2163408007326634	-0.00019962051374729413	1.0192327499389648
820	2500	0.010548376378015634	0.033601902126888336	0.5087844820004378	0.08879218698079203	0.17778116185471693	-0.00019962817573205386	1.2634754180908203
847	1000	0.016549872243558507	0.03225602718988971	0.2594767829480745	0.06982435300848798	0.042305235229971705	-0.00019964688683239427	0.7848889827728271
842	1500	0.018222829654655912	0.029474154569773002	0.038650852922042574	0.0342490411772767	0.1344548146460192	-0.00020009526133346435	1.0173554420471191
340	1500	0.010490655154167874	0.02859118182722156	0.05665294662931114	0.04773320687012199	0.2530271237552554	-0.0002005315334523594	1.0010123252868652
2867	2500	0.023096986951589755	0.03598572360690008	0.04239659570079678	0.07094189402402627	0.11420549361490809	-0.00020065590644448774	1.3690738677978516
839	2500	0.012886596275850011	0.030013525312651113	0.8642864593185214	0.09681682936137007	0.1057263914834504	-0.000200659234874515	1.3199553489685059
629	2500	0.010985682089461223	0.026675457577527983	0.6229554996640022	0.09157131998696472	0.13535183986156996	-0.00020071863809862	1.3965764045715332
2359	600	0.011356804886153	0.02597737142193289	0.1479035069861781	0.05741724556657064	0.10233806844943959	-0.00020093521299865754	0.6654267311096191
115	2500	0.017004486871402952	0.0374222456018935	0.04844360582140857	0.06146332293600338	0.3230836579016708	-0.00020106934331754972	1.3406224250793457
687	1000	0.023091193828455946	0.03917811338759882	0.11787905440048627	0.08588593844502998	0.2685735135904704	-0.00020115007628734136	0.8082926273345947
2741	1500	0.021948498299503707	0.036298805623673255	0.09577161256266581	0.06782040948497765	0.08016071839479466	-0.00020123299578741596	0.9629478454589844
1646	1500	0.013487870262393975	0.03037117280082998	0.11107441224333747	0.06486462931695394	0.31560237708924943	-0.00020135259243968324	1.0232503414154053
651	1500	0.011447294940477259	0.03606845328422019	0.36835796572378326	0.09296932232908706	0.3117971959488959	-0.0002013926326838397	0.9754025936126709
190	1000	0.011070591416918112	0.031229307014613225	0.2695444398038122	0.05629585260480304	0.16815666917402525	-0.0002014168753606422	0.7827439308166504
2535	1500	0.017411376338357296	0.03933496018764124	0.40185303393319477	0.06358030444715096	0.2214769153885559	-0.0002014470084053465	0.9653968811035156
126	2500	0.010197265614302644	0.029265961277581673	0.0867299475599907	0.07659683316498554	0.28146730088280847	-0.00020161826165167305	1.3717191219329834
246	2500	0.02008811664447358	0.03401541563934553	0.03302230468512996	0.03541702554557198	0.12184578262102683	-0.0002017431193679525	1.3230059146881104
2084	1500	0.022358245664757578	0.03732325197360885	0.06938790760323549	0.07328150457428925	0.2305743788380382	-0.00020201286689398447	0.9828941822052002
332	1500	0.017422731790829635	0.03802750137123793	0.1827346078282227	0.050191374126368336	0.27577986009827254	-0.00020213731433456805	0.9797813892364502
992	2500	0.021923639946402996	0.03819965676027737	0.26839500513749864	0.05778336786597401	0.1120176493163755	-0.00020222148911744437	1.2888925075531006
1188	2500	0.016091256558003822	0.03845396714174683	0.2742555869280318	0.08511078821292384	0.31629147970145033	-0.0002025770136519224	1.328911304473877
2116	1000	0.02194547927427845	0.036884271397289316	0.194432422284072	0.07317279664955328	0.09487773331492702	-0.00020329666139943788	0.786841869354248
2057	1000	0.007645950941852675	0.03533131397966673	0.16560031280246626	0.03219596965226749	0.2554990258067547	-0.00020330531727775345	0.7792041301727295
1106	600	0.019596711398775606	0.03368026487043255	0.3444212456050173	0.06390987393999029	0.0546698584665299	-0.0002034076139668913	0.6516001224517822
1942	1500	0.008826944057426934	0.025885192563217432	0.6073242767848522	0.06541336104574459	0.12397985945973727	-0.0002035244900286781	0.9899840354919434
1177	2500	0.011972265932477938	0.031695346130237445	0.026781537186497312	0.03426143449018158	0.2832159850457506	-0.00020359575664415767	1.3462128639221191
1050	2500	0.01544959022421734	0.03569745578801845	0.07368639194057497	0.0625136875618334	0.3251685135034617	-0.00020362119773752524	1.3515210151672363
319	2500	0.01534994812318038	0.03722928056221226	0.10275137322326787	0.03531551819022107	0.34876394915433645	-0.00020369207010294924	1.352513313293457
478	600	0.016580766966081677	0.03061046702648856	0.46131169797049487	0.0822119869480828	0.15973948761231327	-0.00020374689650243184	0.6584353446960449
401	600	0.008917030888701393	0.03174839891329813	0.24886418867826313	0.06954703896611425	0.2546272703532565	-0.0002038102856814271	0.6536333560943604
974	600	0.011623235308405878	0.0355973812448453	0.20500807886182998	0.07071176250304317	0.3836523844084831	-0.0002038147998298038	0.6634948253631592
2456	1000	0.0055773861231001535	0.03080196588925909	0.5452178204420721	0.08239706381864714	0.23798945001876046	-0.00020391264492576657	0.7901406288146973
421	2500	0.022502227096044793	0.03551658471879558	0.05805519655016782	0.06046239050500576	0.28029261622526697	-0.00020397918384333223	1.3987581729888916
783	600	0.009447208546691798	0.0268521537276425	0.24455125666718777	0.09495646302913269	0.27991673861761235	-0.00020408842376830352	0.6756010055541992
2371	1500	0.011791437372801972	0.0378835599315969	0.21251858264340917	0.09420845198175765	0.40999719842202365	-0.00020423855398142232	0.9774050712585449
1371	600	0.014648097524630904	0.031073571585288916	0.5267115997785125	0.07752230311582775	0.12183067090598881	-0.00020437545276256805	0.6545050144195557
858	2500	0.01287556848810926	0.028549102140851206	0.23877779703385665	0.06015451768157103	0.07500759895209058	-0.00020448280331920757	1.3388385772705078
542	2500	0.005957248832277759	0.03790636606469728	0.5069569252401307	0.09240075624911348	0.2713780044465522	-0.00020455017829638044	1.2329680919647217
2177	2500	0.015525777646976886	0.03872787694245877	0.4569768262938047	0.05627484091503035	0.2193324111278576	-0.000204648218783818	1.295607566833496
1392	600	0.017449952869361986	0.031383247597993144	0.21042009858635077	0.07326211236944953	0.2201282468008	-0.00020466532233494585	0.6716394424438477
1615	2500	0.010728917930138346	0.02940905030346995	0.5199832818138368	0.05660455826005606	0.15711606805018097	-0.00020468430340987612	1.355449914932251
1217	2500	0.008631656410068765	0.027318816658860517	0.18933856457011286	0.028069894573713686	0.118156565865286	-0.00020479091486602123	1.2973942756652832
1911	2500	0.010485212870691395	0.02899756798170402	0.6000812549530679	0.06812174103057209	0.08436635097731052	-0.0002048198042594136	1.281536340713501
1436	600	0.01232688555218576	0.024108270059269438	0.32293515473458895	0.07779061336964918	0.14357127980095571	-0.00020493883364105942	0.6815645694732666
1096	1000	0.01581847961894559	0.03125668593089302	0.06727342569193216	0.07896176386538772	0.36047805745883066	-0.00020507628322488075	0.8354828357696533
323	600	0.010423836517598786	0.02693380958361741	0.3972853702081352	0.07607945959226595	0.20997856185806274	-0.00020509441358513032	0.6745696067810059
1058	600	0.010075145217360543	0.03192754931972135	0.39086603223102934	0.06770138019195797	0.2529828443921918	-0.0002051011685034228	0.6589083671569824
1546	1500	0.011410018640660859	0.02853226815816389	1.0439165744424312	0.08703575849679372	0.13282301421766485	-0.000205134028429608	0.9877357482910156
2169	2500	0.016946880644376033	0.038261000734463126	0.5951386734504833	0.07596397187101937	0.23762692385974027	-0.00020516566473130078	1.3246378898620605
2649	1000	0.013799227341761746	0.03720772032473001	0.4916447582804994	0.05757083112090645	0.26245936692210514	-0.00020528837317415358	0.8014094829559326
936	1000	0.008639893752716623	0.03111472588940393	0.17842433130759366	0.050624699294771786	0.3020697680816212	-0.00020537219974542278	0.8106913566589355
1350	1000	0.012522566317734633	0.02705655184087379	0.39418063273620485	0.07460741925115064	0.1866890618826331	-0.00020541465210517827	0.8358154296875
2100	2500	0.007684878236015822	0.03909469643660446	0.26010985876743337	0.07187223931879462	0.32533104996224244	-0.00020542005730851034	1.2618048191070557
