	num_particles	process_std	vel_std	measurement_std	res_g	rotflip_const	mean_test_score	mean_score_time
3	3000	0.01	0.2	0.05	0.75	0.1	-0.0035659414244745002	1.743027925491333
2	3000	0.01	0.15	0.05	0.75	0.1	-0.0035669574474451763	1.7423701286315918
4	12000	0.01	0.15	0.05	0.75	0.1	-0.003567236920604895	5.948965072631836
5	12000	0.01	0.2	0.05	0.75	0.1	-0.003567817496464293	5.862658262252808
0	600	0.01	0.15	0.05	0.75	0.1	-0.003586229021632005	0.6540601253509521
1	600	0.01	0.2	0.05	0.75	0.1	-0.0035896382104050953	0.6498196125030518
11	12000	0.01	0.2	0.25	0.75	0.1	-0.0035969275893589117	4.226036071777344
10	12000	0.01	0.15	0.25	0.75	0.1	-0.003615539631504564	4.1977081298828125
9	3000	0.01	0.2	0.25	0.75	0.1	-0.003651971796338854	1.3529245853424072
8	3000	0.01	0.15	0.25	0.75	0.1	-0.0037057384660848	1.3744256496429443
17	12000	0.01	0.2	0.4	0.75	0.1	-0.0037543692644889837	4.202674627304077
16	12000	0.01	0.15	0.4	0.75	0.1	-0.0038371405868360183	4.163353443145752
15	3000	0.01	0.2	0.4	0.75	0.1	-0.004046348219315319	1.33028244972229
7	600	0.01	0.2	0.25	0.75	0.1	-0.004113986568371607	0.5816433429718018
6	600	0.01	0.15	0.25	0.75	0.1	-0.004213834919703276	0.5635745525360107
14	3000	0.01	0.15	0.4	0.75	0.1	-0.004549578520825123	1.3159663677215576
13	600	0.01	0.2	0.4	0.75	0.1	-0.0067252091280478685	0.559201717376709
12	600	0.01	0.15	0.4	0.75	0.1	-0.007332494076324042	0.5513663291931152
