	num_particles	process_std	vel_std	measurement_std	res_g	mean_test_score	mean_score_time
1323	2500	0.042896550627767364	0.07988741150961566	0.038542995119697575	0.13542621424805779	-0.00017126522714055502	1.6617438793182373
1129	2500	0.06746663082329706	0.03721737429369325	0.032788597494477746	0.19002293142966564	-0.00017449158099533402	1.6876301765441895
2441	2500	0.04732228200057052	0.03632295030202083	0.029386290199732417	0.2973713280816296	-0.0001747760975661323	1.7622270584106445
1964	2500	0.05601886180002314	0.08778069562823966	0.06641894793033629	0.29777852421937645	-0.00017592710295414452	1.619678258895874
148	2500	0.05450471962091935	0.022287993080360235	0.048489448299426204	0.694070471462623	-0.00017669445842114913	1.6554479598999023
1739	2500	0.14552345076506087	0.0952113172447518	0.035731325565111355	0.1500005019535825	-0.00017750364920318426	1.7372338771820068
1367	2500	0.27181260402387913	0.0664514363461839	0.07032811862628924	0.2526725096246284	-0.00017803117408426994	1.599351406097412
477	2500	0.04758327765801693	0.25163433089703835	0.07226920361970551	0.08418006929357336	-0.00017817063128872744	1.601473093032837
1197	2500	0.29961465622041933	0.06703452227691063	0.06235613231674915	0.18622745120923656	-0.00017864166280877694	1.6134998798370361
2664	1500	0.20590793937450683	0.06311327069557415	0.03302335462839344	0.11289239361290415	-0.0001797232440579759	1.2776024341583252
2127	2500	0.3438561830869303	0.24539519830303919	0.06625871400612643	0.06793649705648108	-0.00017977644933170195	1.620354413986206
567	2500	0.4413665927560191	0.25476953280012793	0.1114588480289358	0.14492881821237125	-0.00017979176304605223	1.611173152923584
1170	2500	0.23786736973734834	0.17022577256804	0.06311133083553414	0.1689313916135846	-0.000179840537668907	1.6655442714691162
657	600	0.16613929742448613	0.051251055768485584	0.027208150692041976	0.1588067771806544	-0.00018064199645361043	0.867865800857544
1156	2500	0.34361887544478387	0.34423670132605816	0.07081361515439846	0.06495643234497217	-0.000180713823729065	1.6478166580200195
1863	1500	0.10687636017987417	0.08350900590709004	0.06522064446814196	0.3276792427422468	-0.0001808627189418691	1.198117971420288
1178	1500	0.19574415498600492	0.2851237165052003	0.08050530804748371	0.10696528500122549	-0.00018098495686806878	1.203092336654663
379	1500	0.3516954375474382	0.1416932233083699	0.08519775901272819	0.12669986695461788	-0.0001811034213422009	1.1861915588378906
745	1500	0.029710219803260322	0.13472727852390967	0.05136043242034431	0.16312036147869435	-0.00018115006979479964	1.2204806804656982
2005	1000	0.054344194592777555	0.1623178862944349	0.037849481590054884	0.09937675013629266	-0.00018163314876532382	1.0432732105255127
1529	2500	0.33565625234353086	0.19391460258728552	0.05475722461025649	0.07872632244782041	-0.00018181655647687677	1.6593120098114014
222	2500	0.1262817031821659	0.27540140172336086	0.07669126954839844	0.1262087246305903	-0.00018230721747103013	1.6387712955474854
1859	2500	0.09057734521426686	0.12021594700295311	0.04951588124313943	0.07214454573807805	-0.000182451986014716	1.6036527156829834
2853	2500	0.22738273301530063	0.28882553471177336	0.09570788797412894	0.07879905520198949	-0.00018277261702697727	1.590343952178955
2670	2500	0.39687831608244944	0.2573031036836712	0.09778902550995283	0.06428854539968554	-0.0001829374647597648	1.5769097805023193
935	2500	0.2960324651473094	0.14006215621275275	0.06790968920995907	0.0686649930414609	-0.00018300472631883693	1.5837311744689941
126	2500	0.4117436674849	0.07409339286200155	0.0533086763888792	0.25165388107009046	-0.00018313680526169562	1.7120013236999512
2255	1000	0.3102636274874122	0.0793051225342544	0.058512970614105236	0.190457989512825	-0.00018319428681740023	0.9993197917938232
2700	2500	0.22963867449883232	0.19677594717738198	0.08021723978948572	0.17259122666977522	-0.0001833174024996752	1.6314353942871094
2739	2500	0.12186452927392707	0.07217342967358034	0.10102676027584129	0.3962216417996933	-0.00018350969072954753	1.5743963718414307
2107	2500	0.478334233137211	0.06506297568170302	0.08688087974746664	0.26399512921905144	-0.0001836599905595817	1.6194064617156982
2802	1500	0.13283181685585035	0.04775997002881553	0.05798137784067332	0.18123193023992978	-0.0001841851585085223	1.1805288791656494
770	2500	0.2830783545981519	0.04553173184674597	0.10109777692096364	0.6755543267272581	-0.0001844853117883511	1.6298258304595947
1962	2500	0.05903477922522052	0.20464220597737057	0.09451444951581656	0.23632260274361094	-0.00018463780899394483	1.625795841217041
1767	1500	0.036347506944702145	0.1558618881435427	0.07084216123149739	0.16717230650682335	-0.00018473255151333596	1.1927666664123535
1621	2500	0.046697768970257444	0.08002831040239199	0.049350053380722035	0.3381008106707827	-0.00018480219211880497	1.6926279067993164
2588	1000	0.12276201549222668	0.07205296178992847	0.03552362469809396	0.09538289953853307	-0.00018482974133280194	1.0192697048187256
2505	2500	0.08330440825136427	0.30999810427833296	0.06774633477904318	0.11037246416396385	-0.00018514671093262076	1.6568500995635986
644	1500	0.1491098591840321	0.06173460456405229	0.050796085273192196	0.38024600080963944	-0.00018521820116203745	1.2350609302520752
2217	1500	0.05784494904294589	0.1022571704218835	0.07850895047125853	0.19849827409433174	-0.00018533073981249711	1.1722514629364014
236	2500	0.1004358685294586	0.17191998940238265	0.08417504983154259	0.21525013619543953	-0.00018534756308621612	1.6123580932617188
2327	2500	0.06826409161567602	0.15964405065300527	0.04459752545060451	0.17180824325419408	-0.00018535876297678155	1.7214787006378174
2852	600	0.1445285284342767	0.04647410772477563	0.04641176325469389	0.39853660447114314	-0.0001855114552043441	0.8335299491882324
