	num_particles	process_std	vel_std	measurement_std	res_g	mean_test_score	mean_score_time
23	600	0.025	0.15	0.02	0.75	-0.0004912198315637488	0.5114240646362305
44	3000	0.025	0.15	0.02	0.5	-0.0004945427095665059	1.5117197036743164
35	3000	0.02	0.15	0.02	0.75	-0.0004946160706356236	1.5221233367919922
32	3000	0.02	0.15	0.02	0.5	-0.0004946746162422243	1.7155590057373047
29	3000	0.02	0.15	0.02	0.4	-0.0004954927514403072	2.0940263271331787
47	3000	0.025	0.15	0.02	0.75	-0.0004955777004281046	1.4965863227844238
11	600	0.02	0.15	0.02	0.75	-0.0004956744790754157	0.5007059574127197
41	3000	0.025	0.15	0.02	0.4	-0.000496321237157938	1.4362726211547852
5	600	0.02	0.15	0.02	0.4	-0.0004972980709199868	0.5021603107452393
8	600	0.02	0.15	0.02	0.5	-0.0004976693979709808	0.49006032943725586
17	600	0.025	0.15	0.02	0.4	-0.000497871828608432	0.6163709163665771
26	3000	0.02	0.15	0.02	0.2	-0.0004979374871647336	1.3584673404693604
38	3000	0.025	0.15	0.02	0.2	-0.0004982609327847699	1.6856729984283447
14	600	0.025	0.15	0.02	0.2	-0.0004991444372534431	0.48931455612182617
22	600	0.025	0.1	0.02	0.75	-0.0004992942963771833	0.5412745475769043
46	3000	0.025	0.1	0.02	0.75	-0.0004993583828396476	1.4171428680419922
10	600	0.02	0.1	0.02	0.75	-0.0004995281945406336	0.4783182144165039
34	3000	0.02	0.1	0.02	0.75	-0.0005002446567005631	1.4595057964324951
31	3000	0.02	0.1	0.02	0.5	-0.0005011038162693691	1.4794294834136963
20	600	0.025	0.15	0.02	0.5	-0.0005015058442903296	0.5376253128051758
43	3000	0.025	0.1	0.02	0.5	-0.0005018224833014216	1.4425463676452637
2	600	0.02	0.15	0.02	0.2	-0.0005026060141352673	0.4960775375366211
40	3000	0.025	0.1	0.02	0.4	-0.0005030825767631085	1.3618369102478027
16	600	0.025	0.1	0.02	0.4	-0.0005034856561829997	0.5418202877044678
28	3000	0.02	0.1	0.02	0.4	-0.0005041679340000165	1.4917845726013184
13	600	0.025	0.1	0.02	0.2	-0.0005044451938427332	0.4811694622039795
4	600	0.02	0.1	0.02	0.4	-0.0005046507577967692	0.4908480644226074
19	600	0.025	0.1	0.02	0.5	-0.0005055074503736447	0.6250483989715576
25	3000	0.02	0.1	0.02	0.2	-0.000505903944602136	1.1475670337677002
7	600	0.02	0.1	0.02	0.5	-0.000506838008556354	0.4750862121582031
1	600	0.02	0.1	0.02	0.2	-0.0005089970835261156	0.5057473182678223
37	3000	0.025	0.1	0.02	0.2	-0.0005093690976074873	1.3465209007263184
33	3000	0.02	0.05	0.02	0.75	-0.0005148273513959309	1.407280445098877
9	600	0.02	0.05	0.02	0.75	-0.0005158062412941798	0.46750807762145996
21	600	0.025	0.05	0.02	0.75	-0.0005171459811790284	0.4965240955352783
42	3000	0.025	0.05	0.02	0.5	-0.0005175481298289943	1.3245961666107178
45	3000	0.025	0.05	0.02	0.75	-0.0005179248908817243	1.537466049194336
30	3000	0.02	0.05	0.02	0.5	-0.0005196445665035538	1.664937973022461
6	600	0.02	0.05	0.02	0.5	-0.0005204302676081375	0.4734485149383545
39	3000	0.025	0.05	0.02	0.4	-0.0005207024579918491	1.2480299472808838
3	600	0.02	0.05	0.02	0.4	-0.0005213374668519623	0.486767053604126
15	600	0.025	0.05	0.02	0.4	-0.0005223360558446485	0.48039698600769043
27	3000	0.02	0.05	0.02	0.4	-0.0005223476572513079	1.0942237377166748
18	600	0.025	0.05	0.02	0.5	-0.0005228172303278036	0.584618091583252
0	600	0.02	0.05	0.02	0.2	-0.0005233158312041127	0.4885997772216797
24	3000	0.02	0.05	0.02	0.2	-0.0005244726261661887	1.2415966987609863
36	3000	0.025	0.05	0.02	0.2	-0.0005261620864793291	1.2902686595916748
12	600	0.025	0.05	0.02	0.2	-0.0005305727232934413	0.4736597537994385
