	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
19	2500	0.02	0.0175	0.2	0.75	-0.0004819374394483553	0.9981582164764404
33	600	0.02	0.0175	0.4	0.5	-0.0004827646468477116	0.5847947597503662
31	2500	0.02	0.02	0.4	0.25	-0.0004830691079269292	1.0370290279388428
45	600	0.02	0.02	0.4	0.75	-0.00048376549104795874	0.4382007122039795
6	2500	0.01	0.02	0.2	0.25	-0.0004837687362522212	0.6462304592132568
25	600	0.02	0.0175	0.4	0.25	-0.0004840659874923396	0.46416664123535156
35	2500	0.02	0.0175	0.4	0.5	-0.0004844465184885744	1.162219762802124
61	600	0.02	0.02	0.5	0.5	-0.00048467998959758965	0.5674920082092285
43	2500	0.02	0.0175	0.4	0.75	-0.0004847466314879671	0.9913585186004639
55	2500	0.02	0.02	0.5	0.25	-0.0004847676119138088	1.0303230285644531
56	600	0.01	0.0175	0.5	0.5	-0.000484787435851419	0.37395620346069336
37	600	0.02	0.02	0.4	0.5	-0.0004855107946404717	0.4361124038696289
27	2500	0.02	0.0175	0.4	0.25	-0.000485578477259032	1.0209970474243164
11	2500	0.02	0.0175	0.2	0.5	-0.00048560783495179665	0.9743530750274658
47	2500	0.02	0.02	0.4	0.75	-0.0004856163893825099	1.038078784942627
3	2500	0.02	0.0175	0.2	0.25	-0.00048566354172045176	0.9636647701263428
15	2500	0.02	0.02	0.2	0.5	-0.00048586466895937354	0.9899001121520996
71	2500	0.02	0.02	0.5	0.75	-0.0004859290805922351	1.0062105655670166
57	600	0.02	0.0175	0.5	0.5	-0.00048593777507250003	0.5888082981109619
77	600	0.02	0.02	0.75	0.25	-0.0004860057270531964	0.5384130477905273
5	600	0.02	0.02	0.2	0.25	-0.00048609472947417314	0.4311838150024414
7	2500	0.02	0.02	0.2	0.25	-0.00048616732721140833	0.9793589115142822
63	2500	0.02	0.02	0.5	0.5	-0.00048629798564802626	0.9946677684783936
13	600	0.02	0.02	0.2	0.5	-0.0004866941882909893	0.4422450065612793
59	2500	0.02	0.0175	0.5	0.5	-0.00048670767885555555	1.2590608596801758
1	600	0.02	0.0175	0.2	0.25	-0.00048675809716719904	0.44107961654663086
17	600	0.02	0.0175	0.2	0.75	-0.00048679089669442945	0.46053504943847656
66	2500	0.01	0.0175	0.5	0.75	-0.00048683623471017386	0.6928820610046387
65	600	0.02	0.0175	0.5	0.75	-0.0004868998420253354	0.44747471809387207
49	600	0.02	0.0175	0.5	0.25	-0.000487118994501897	0.5442230701446533
41	600	0.02	0.0175	0.4	0.75	-0.0004871727893827468	0.4444715976715088
51	2500	0.02	0.0175	0.5	0.25	-0.0004872162228638618	0.9901812076568604
23	2500	0.02	0.02	0.2	0.75	-0.0004872821716627519	0.9850621223449707
67	2500	0.02	0.0175	0.5	0.75	-0.0004873780216981911	1.0250883102416992
81	600	0.02	0.0175	0.75	0.5	-0.00048756794274058173	0.5186097621917725
0	600	0.01	0.0175	0.2	0.25	-0.00048783599156357067	0.37455129623413086
83	2500	0.02	0.0175	0.75	0.5	-0.0004879052306109386	1.0615284442901611
14	2500	0.01	0.02	0.2	0.5	-0.0004879124439206902	0.6747405529022217
39	2500	0.02	0.02	0.4	0.5	-0.0004881736835710812	0.9723899364471436
18	2500	0.01	0.0175	0.2	0.75	-0.000488454211652152	0.7101166248321533
85	600	0.02	0.02	0.75	0.5	-0.0004887590128451082	0.4807164669036865
79	2500	0.02	0.02	0.75	0.25	-0.0004891544285138932	1.047182559967041
69	600	0.02	0.02	0.5	0.75	-0.000489154627657648	0.5043795108795166
29	600	0.02	0.02	0.4	0.25	-0.0004891699718328175	0.49804115295410156
73	600	0.02	0.0175	0.75	0.25	-0.0004892129185751179	0.98665452003479
53	600	0.02	0.02	0.5	0.25	-0.0004892534900379993	0.4314920902252197
9	600	0.02	0.0175	0.2	0.5	-0.0004893053582171036	0.44263362884521484
