	num_particles	process_std	measurement_std	g	h	mean_test_score	mean_score_time
0	600	0.01	0.0175	0.2	0.25		0.003984689712524414
1	600	0.02	0.0175	0.2	0.25		0.00034165382385253906
2	2500	0.01	0.0175	0.2	0.25		0.0003960132598876953
3	2500	0.02	0.0175	0.2	0.25		0.00034165382385253906
4	600	0.01	0.02	0.2	0.25		0.00029158592224121094
5	600	0.02	0.02	0.2	0.25		0.00028705596923828125
6	2500	0.01	0.02	0.2	0.25		0.0003376007080078125
7	2500	0.02	0.02	0.2	0.25		0.00033974647521972656
8	600	0.01	0.0175	0.2	0.5		0.0003185272216796875
9	600	0.02	0.0175	0.2	0.5		0.00030517578125
10	2500	0.01	0.0175	0.2	0.5		0.0003311634063720703
11	2500	0.02	0.0175	0.2	0.5		0.00033664703369140625
12	600	0.01	0.02	0.2	0.5		0.0002932548522949219
13	600	0.02	0.02	0.2	0.5		0.00029015541076660156
14	2500	0.01	0.02	0.2	0.5		0.0003402233123779297
15	2500	0.02	0.02	0.2	0.5		0.0003399848937988281
16	600	0.01	0.0175	0.2	0.75		0.00028634071350097656
17	600	0.02	0.0175	0.2	0.75		0.0004608631134033203
18	2500	0.01	0.0175	0.2	0.75		0.0005233287811279297
19	2500	0.02	0.0175	0.2	0.75		0.0005061626434326172
20	600	0.01	0.02	0.2	0.75		0.00046253204345703125
21	600	0.02	0.02	0.2	0.75		0.0004420280456542969
22	2500	0.01	0.02	0.2	0.75		0.00043082237243652344
23	2500	0.02	0.02	0.2	0.75		0.00042366981506347656
24	600	0.01	0.0175	0.4	0.25		0.0003018379211425781
25	600	0.02	0.0175	0.4	0.25		0.0002994537353515625
26	2500	0.01	0.0175	0.4	0.25		0.0003287792205810547
27	2500	0.02	0.0175	0.4	0.25		0.0003368854522705078
28	600	0.01	0.02	0.4	0.25		0.00029468536376953125
29	600	0.02	0.02	0.4	0.25		0.00028705596923828125
30	2500	0.01	0.02	0.4	0.25		0.0003421306610107422
31	2500	0.02	0.02	0.4	0.25		0.00034999847412109375
32	600	0.01	0.0175	0.4	0.5		0.00031185150146484375
33	600	0.02	0.0175	0.4	0.5		0.00029778480529785156
34	2500	0.01	0.0175	0.4	0.5		0.00045037269592285156
35	2500	0.02	0.0175	0.4	0.5		0.0003509521484375
36	600	0.01	0.02	0.4	0.5		0.0002963542938232422
37	600	0.02	0.02	0.4	0.5		0.0002880096435546875
38	2500	0.01	0.02	0.4	0.5		0.00036597251892089844
39	2500	0.02	0.02	0.4	0.5		0.0003490447998046875
40	600	0.01	0.0175	0.4	0.75		0.0003383159637451172
