	Q	R	eps_max	Q_scale_factor	rotflip_const	mean_test_score	mean_score_time
20	0.12	0.02	0.18	1000	0.05	-0.005860819441545124	0.12415885925292969
21	0.12	0.02	0.18	1000	0.1	-0.005860819441545331	0.11943531036376953
12	0.08	0.02	0.18	1000	0.05	-0.0058608194415463305	0.11262011528015137
13	0.08	0.02	0.18	1000	0.1	-0.005860819441546642	0.12280726432800293
4	0.05	0.02	0.18	1000	0.05	-0.005860819441548511	0.11152243614196777
5	0.05	0.02	0.18	1000	0.1	-0.005860819441549009	0.11553144454956055
22	0.12	0.15	0.18	1000	0.05	-0.005860819441560854	0.25215792655944824
23	0.12	0.15	0.18	1000	0.1	-0.0058608194415624105	0.1315000057220459
14	0.08	0.15	0.18	1000	0.05	-0.005860819441569923	0.15953540802001953
15	0.08	0.15	0.18	1000	0.1	-0.005860819441572264	0.14927887916564941
16	0.12	0.02	0.18	500	0.05	-0.005860819441581403	0.1437239646911621
17	0.12	0.02	0.18	500	0.1	-0.005860819441584745	0.13186192512512207
6	0.05	0.15	0.18	1000	0.05	-0.005860819441586251	0.1069800853729248
7	0.05	0.15	0.18	1000	0.1	-0.005860819441590001	0.1153101921081543
8	0.08	0.02	0.18	500	0.05	-0.005860819441600744	0.1565840244293213
9	0.08	0.02	0.18	500	0.1	-0.005860819441605764	0.11159539222717285
0	0.05	0.02	0.18	500	0.05	-0.005860819441635526	0.11152338981628418
1	0.05	0.02	0.18	500	0.1	-0.005860819441643604	0.10724616050720215
18	0.12	0.15	0.18	500	0.05	-0.005860819441832971	0.1712031364440918
19	0.12	0.15	0.18	500	0.1	-0.005860819441858015	0.1296701431274414
10	0.08	0.15	0.18	500	0.05	-0.005860819441978001	0.10916996002197266
11	0.08	0.15	0.18	500	0.1	-0.00586081944201568	0.10870599746704102
2	0.05	0.15	0.18	500	0.05	-0.005860819442238884	0.12633752822875977
3	0.05	0.15	0.18	500	0.1	-0.005860819442299465	0.10872888565063477
