	num_particles	process_std	measurement_std	Q	R	std_a	mean_test_score	mean_score_time
50	600	0.02	0.02	0.7	0.05	0.08	-0.0004849367773674773	1.3875501155853271
27	600	0.02	0.02	0.4	0.05	0.1	-0.00048550930827754294	1.448007345199585
31	2500	0.02	0.02	0.4	0.05	0.1	-0.0004856148612416406	3.0508785247802734
35	600	0.02	0.02	0.4	0.1	0.1	-0.00048627949118431745	1.370713710784912
10	600	0.02	0.02	0.1	0.1	0.08	-0.00048631594304767795	0.5423188209533691
58	600	0.02	0.02	0.7	0.1	0.08	-0.00048632386938592034	1.4423367977142334
26	600	0.02	0.02	0.4	0.05	0.08	-0.00048662106209146377	1.4783580303192139
51	600	0.02	0.02	0.7	0.05	0.1	-0.00048667367027930897	1.3606178760528564
30	2500	0.02	0.02	0.4	0.05	0.08	-0.00048669602759096944	3.746678352355957
39	2500	0.02	0.02	0.4	0.1	0.1	-0.0004866964304173509	2.897092580795288
55	2500	0.02	0.02	0.7	0.05	0.1	-0.00048675182953295324	3.0923099517822266
63	2500	0.02	0.02	0.7	0.1	0.1	-0.0004869838187357126	3.398149251937866
42	600	0.02	0.02	0.4	0.15	0.08	-0.0004870826634067898	1.9837429523468018
7	2500	0.02	0.02	0.1	0.05	0.1	-0.00048718437834629444	1.5516726970672607
6	2500	0.02	0.02	0.1	0.05	0.08	-0.00048718500609981814	3.1357054710388184
54	2500	0.02	0.02	0.7	0.05	0.08	-0.0004872462913969539	3.6058413982391357
2	600	0.02	0.02	0.1	0.05	0.08	-0.0004875737826680972	1.3113429546356201
71	2500	0.02	0.02	0.7	0.15	0.1	-0.00048762686749445166	3.6543819904327393
67	600	0.02	0.02	0.7	0.15	0.1	-0.00048774829567325956	1.458820104598999
38	2500	0.02	0.02	0.4	0.1	0.08	-0.00048796911215720035	3.33064866065979
34	600	0.02	0.02	0.4	0.1	0.08	-0.00048803306435732315	0.8041558265686035
62	2500	0.02	0.02	0.7	0.1	0.08	-0.0004880668856798767	3.285431385040283
43	600	0.02	0.02	0.4	0.15	0.1	-0.0004881939276250807	1.719940185546875
15	2500	0.02	0.02	0.1	0.1	0.1	-0.0004882966974245807	3.4515326023101807
46	2500	0.02	0.02	0.4	0.15	0.08	-0.0004884855999717476	2.19231915473938
59	600	0.02	0.02	0.7	0.1	0.1	-0.0004886344192552055	1.457855224609375
14	2500	0.02	0.02	0.1	0.1	0.08	-0.0004886367200483318	3.5936663150787354
47	2500	0.02	0.02	0.4	0.15	0.1	-0.0004888887102283023	3.1147420406341553
66	600	0.02	0.02	0.7	0.15	0.08	-0.0004896049479636504	1.4566583633422852
23	2500	0.02	0.02	0.1	0.15	0.1	-0.000489657944667152	3.267198085784912
70	2500	0.02	0.02	0.7	0.15	0.08	-0.0004897140323121759	3.6407816410064697
19	600	0.02	0.02	0.1	0.15	0.1	-0.0004897798031853262	1.4737775325775146
3	600	0.02	0.02	0.1	0.05	0.1	-0.0004900224086909478	1.493786334991455
11	600	0.02	0.02	0.1	0.1	0.1	-0.0004913789954857621	0.9802141189575195
22	2500	0.02	0.02	0.1	0.15	0.08	-0.0004916542738065432	3.6101293563842773
29	2500	0.01	0.02	0.4	0.05	0.1	-0.0004927301774070141	2.5071003437042236
53	2500	0.01	0.02	0.7	0.05	0.1	-0.0004927725095650262	2.439986228942871
18	600	0.02	0.02	0.1	0.15	0.08	-0.0004930916501605318	1.3463423252105713
28	2500	0.01	0.02	0.4	0.05	0.08	-0.0004933756435856108	2.302105665206909
52	2500	0.01	0.02	0.7	0.05	0.08	-0.0004946030469523997	2.349447011947632
48	600	0.01	0.02	0.7	0.05	0.08	-0.0004950372802916304	1.1940436363220215
61	2500	0.01	0.02	0.7	0.1	0.1	-0.0004951169368678466	2.466608762741089
24	600	0.01	0.02	0.4	0.05	0.08	-0.0004967316870654479	0.8807275295257568
5	2500	0.01	0.02	0.1	0.05	0.1	-0.0004967905187795614	2.058415651321411
49	600	0.01	0.02	0.7	0.05	0.1	-0.0004968153691177365	1.4845128059387207
25	600	0.01	0.02	0.4	0.05	0.1	-0.0004968549666710408	1.06272554397583
37	2500	0.01	0.02	0.4	0.1	0.1	-0.0004973101389057895	2.4081811904907227
36	2500	0.01	0.02	0.4	0.1	0.08	-0.000497444653557166	1.73250150680542
1	600	0.01	0.02	0.1	0.05	0.1	-0.0004979354968018683	0.8040788173675537
0	600	0.01	0.02	0.1	0.05	0.08	-0.0004982537215814032	0.5049793720245361
65	600	0.01	0.02	0.7	0.15	0.1	-0.0004983288944148736	1.1598169803619385
60	2500	0.01	0.02	0.7	0.1	0.08	-0.0004983885774398592	2.4666268825531006
57	600	0.01	0.02	0.7	0.1	0.1	-0.0004984116460031979	1.2435052394866943
32	600	0.01	0.02	0.4	0.1	0.08	-0.0004986978978150837	1.166797161102295
64	600	0.01	0.02	0.7	0.15	0.08	-0.0004988311950056748	1.147996187210083
56	600	0.01	0.02	0.7	0.1	0.08	-0.0004990786292853824	1.3375985622406006
69	2500	0.01	0.02	0.7	0.15	0.1	-0.0004993801739915544	2.488248109817505
33	600	0.01	0.02	0.4	0.1	0.1	-0.0004999355263525956	0.6662290096282959
4	2500	0.01	0.02	0.1	0.05	0.08	-0.0005000312472754209	2.3702399730682373
68	2500	0.01	0.02	0.7	0.15	0.08	-0.0005006807407052219	2.515462636947632
45	2500	0.01	0.02	0.4	0.15	0.1	-0.0005009363779750116	2.1936657428741455
44	2500	0.01	0.02	0.4	0.15	0.08	-0.0005028815287952023	2.5488476753234863
41	600	0.01	0.02	0.4	0.15	0.1	-0.0005031201706120685	0.8033194541931152
9	600	0.01	0.02	0.1	0.1	0.1	-0.0005035385363371343	0.48252415657043457
40	600	0.01	0.02	0.4	0.15	0.08	-0.0005038030358611579	1.086529016494751
13	2500	0.01	0.02	0.1	0.1	0.1	-0.0005044653390864942	2.168323040008545
12	2500	0.01	0.02	0.1	0.1	0.08	-0.0005077154502621475	1.6803069114685059
21	2500	0.01	0.02	0.1	0.15	0.1	-0.0005109847426759235	2.254997968673706
8	600	0.01	0.02	0.1	0.1	0.08	-0.0005133751529542741	0.5405473709106445
17	600	0.01	0.02	0.1	0.15	0.1	-0.000513788344180215	1.2343382835388184
20	2500	0.01	0.02	0.1	0.15	0.08	-0.0005159316936169947	2.4856462478637695
16	600	0.01	0.02	0.1	0.15	0.08	-0.0005176466289762809	1.175621747970581
