	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
55	2500	0.02	0.02	0.7	0.05	0.1	0.05	-0.003714116719025601	4.146376132965088
70	2500	0.02	0.02	0.7	0.15	0.08	0.05	-0.003714528062778355	4.008802652359009
65	600	0.01	0.02	0.7	0.15	0.1	0.05	-0.00371477061391649	1.311361312866211
47	2500	0.02	0.02	0.4	0.15	0.1	0.05	-0.003715796755610606	3.8984010219573975
29	2500	0.01	0.02	0.4	0.05	0.1	0.05	-0.0037159579978077763	2.5516602993011475
22	2500	0.02	0.02	0.1	0.15	0.08	0.05	-0.0037161766158081092	3.8368706703186035
14	2500	0.02	0.02	0.1	0.1	0.08	0.05	-0.0037163179955336245	4.130306243896484
46	2500	0.02	0.02	0.4	0.15	0.08	0.05	-0.0037163942935058564	3.783877372741699
3	600	0.02	0.02	0.1	0.05	0.1	0.05	-0.003716537083080565	1.5445458889007568
10	600	0.02	0.02	0.1	0.1	0.08	0.05	-0.003717160915486663	1.5931613445281982
30	2500	0.02	0.02	0.4	0.05	0.08	0.05	-0.0037174220326541907	3.7637903690338135
21	2500	0.01	0.02	0.1	0.15	0.1	0.05	-0.003717428475293173	2.665804862976074
31	2500	0.02	0.02	0.4	0.05	0.1	0.05	-0.0037174326093599905	3.6722991466522217
53	2500	0.01	0.02	0.7	0.05	0.1	0.05	-0.0037174380426444335	2.812825918197632
36	2500	0.01	0.02	0.4	0.1	0.08	0.05	-0.0037174414527672965	2.9818220138549805
61	2500	0.01	0.02	0.7	0.1	0.1	0.05	-0.0037175635835553084	3.057096242904663
54	2500	0.02	0.02	0.7	0.05	0.08	0.05	-0.003717649412940159	4.377333879470825
64	600	0.01	0.02	0.7	0.15	0.08	0.05	-0.0037177357460951048	1.3179960250854492
43	600	0.02	0.02	0.4	0.15	0.1	0.05	-0.003717743455261547	1.7559514045715332
69	2500	0.01	0.02	0.7	0.15	0.1	0.05	-0.003717789592341268	3.5029094219207764
7	2500	0.02	0.02	0.1	0.05	0.1	0.05	-0.0037180739901271644	3.8994340896606445
39	2500	0.02	0.02	0.4	0.1	0.1	0.05	-0.0037183709631405906	4.3695642948150635
23	2500	0.02	0.02	0.1	0.15	0.1	0.05	-0.003718384509758689	3.8195643424987793
56	600	0.01	0.02	0.7	0.1	0.08	0.05	-0.0037185600140702234	1.717254638671875
59	600	0.02	0.02	0.7	0.1	0.1	0.05	-0.003718615552323573	1.9160311222076416
51	600	0.02	0.02	0.7	0.05	0.1	0.05	-0.003718627279006708	1.5692050457000732
71	2500	0.02	0.02	0.7	0.15	0.1	0.05	-0.003718665808281208	4.039738893508911
24	600	0.01	0.02	0.4	0.05	0.08	0.05	-0.0037188505016875137	1.2619173526763916
15	2500	0.02	0.02	0.1	0.1	0.1	0.05	-0.0037189935290547317	4.521456718444824
62	2500	0.02	0.02	0.7	0.1	0.08	0.05	-0.0037190397243766233	4.450162887573242
37	2500	0.01	0.02	0.4	0.1	0.1	0.05	-0.0037190444587617225	3.1053099632263184
8	600	0.01	0.02	0.1	0.1	0.08	0.05	-0.0037192686086905524	1.4644551277160645
18	600	0.02	0.02	0.1	0.15	0.08	0.05	-0.003719352768845977	1.5972776412963867
60	2500	0.01	0.02	0.7	0.1	0.08	0.05	-0.0037195049788063435	2.7736480236053467
66	600	0.02	0.02	0.7	0.15	0.08	0.05	-0.0037195300522876833	1.607985496520996
16	600	0.01	0.02	0.1	0.15	0.08	0.05	-0.0037196390214522985	1.5455076694488525
12	2500	0.01	0.02	0.1	0.1	0.08	0.05	-0.003719679374645133	2.865464210510254
