name,payload
00initpos,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""right_leg_pos"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""left_arm_pos"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""right_arm_pos"": [20.6, -79.5, -19.2, -88.8, 4.1, -5.2, 3.1], ""leg_profile_speed"": 0.5, ""leg_position_current"": 8.0, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-2.5], ""head_pos"": [0.0, 0.0, 0.0], ""left_finger_pos"": [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
default,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [-3.7, -19.0, 0.0, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [-4.4, -19.0, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [-24.1, 19.5, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -9.6, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
ik_real_20260529_150246,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [-3.71, -90.01, 0.01, 76.8, -0.01, -0.2], ""right_leg_pos"": [-4.4, -89.99, 0.01, 72.91, 0.01, 0.9], ""left_arm_pos"": [-56.98, 66.92, -11.45, -61.83, -26.95, 5.17, -18.01], ""right_arm_pos"": [-31.18, -85.39, 25.82, -97.16, -4.04, 59.59, -3.31], ""leg_profile_speed"": 0.5, ""leg_position_current"": 8.0, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-0.0], ""waist_speed"": [0.2], ""head_pos"": [-0.04, 0.03, 0.03], ""head_speed"": [0.2], ""left_finger_pos"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""right_finger_pos"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
kneeling,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [3.7, -72.2, 15.2, 137.0, 30.0, 30.0], ""right_leg_pos"": [-5.7, -75.4, -5.8, 137.0, 30.0, 30.0], ""left_arm_pos"": [-24.1, 19.5, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -9.6, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
legs_front,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [-3.7, -121.3, 0.0, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [-4.4, -120.3, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [43.1, 44.1, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [34.3, -31.2, -12.7, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [0.0], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
legs_leftside,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [45.0, -17.9, -0.4, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [45.0, -19.0, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [-24.1, 19.5, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -9.6, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
legs_rightside,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [-45.0, -17.9, -0.4, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [-45.0, -19.0, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [-24.1, 19.5, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -9.6, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
legs_side,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [45.0, -19.0, 0.0, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [-45.0, -19.0, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [-24.1, 19.5, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -9.6, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
legs_spread,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [-3.7, -160.0, 0.0, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [-4.4, 120.0, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [-24.1, 44.1, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -31.2, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
legsbackup,"{""leg_mode"": ""Position"", ""arm_mode"": ""Position"", ""left_leg_pos"": [-3.7, 120.0, 0.0, -1.619246606913263, 0.005259245660909818, -0.2], ""right_leg_pos"": [-4.4, 120.0, 0.0, 0.0, -0.005696377767790634, 0.9], ""left_arm_pos"": [-24.1, 19.5, -1.3, -62.0, -67.2, 1.2, 12.8], ""right_arm_pos"": [-16.5, -9.6, 2.5, -82.3, 64.7, -8.2, -2.7], ""leg_profile_speed"": 0.5, ""leg_position_current"": 20.5, ""leg_speed_current"": 8.0, ""arm_profile_speed"": 0.5, ""arm_position_current"": 8.0, ""arm_speed_current"": 8.0, ""waist_pos"": [-8.8], ""waist_speed"": [0.2], ""head_pos"": [0.0, 0.0, 0.0], ""head_speed"": [0.2], ""left_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""right_finger_pos"": [1.0, 1.0, 1.0, 1.0, 1.0, 0.0], ""left_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""right_finger_vel"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""hand_effort"": [1.0]}"
