['l_shoulder_z', 'l_shoulder_y', 'l_arm_x', 'l_elbow_y', 'l_wrist_z', 'l_wrist_x', 'l_thumb_z', 'l_thumb_x', 'l_indexfinger_x', 'l_middlefingers_x', 'r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x']
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 41.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 71.0, 57.0, 113.0, 30.0, 45.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 70.0, 57.0, 113.0, 30.0, 48.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -63.0, -180.0, -179.0, -180.0, 9.0, 69.0, 57.0, 113.0, 30.0, 55.0, -3.0, 34.0, -179.0, 35.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -55.0, -60.0, -180.0, -179.0, -180.0, 10.0, 69.0, 56.0, 114.0, 23.0, 65.0, -9.0, 33.0, -180.0, 34.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -179.0, -180.0, 10.0, 69.0, 56.0, 114.0, 24.0, 65.0, -9.0, 33.0, -180.0, 34.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -179.0, -180.0, 10.0, 67.0, 56.0, 114.0, 24.0, 76.0, -9.0, 33.0, -180.0, 34.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -179.0, -180.0, 10.0, 67.0, 56.0, 114.0, 24.0, 88.0, -9.0, 33.0, -180.0, 34.0]
[-24.0, 14.0, 0.0, 104.0, -7.0, -54.0, -60.0, -180.0, -179.0, -180.0, 10.0, 67.0, 56.0, 114.0, 24.0, 88.0, -9.0, 33.0, -180.0, 34.0]
